# VERTIKAAL 11 M.C.ECOS 8 VERTIKAAL
* 17-04-2024 11:32:47
#X: 48760 - Y: 418162
#00 DONARLOCATIE: SCHARDKDPPT
#01 MEETPUNT: 1
#08 WAARNEMER(S): bernaards
@ par1.dat
## LUCHTDK    hPa <1013>
## WINDSHD    m/s <9999.9>
## WINDRTG    gradn <279>
## BEWKGD     /8 <7>

~     X       Y    DATUM   TIJD SENSHTE   Echms       T     pH   O2     %O2   GELBH   GEL20  SALNTT     CL- CHLFRFU TROEBFN
  48760  418162 20240417 113302    1.01    1.03   11.27   8.30 9.09      99   31.75    3871   27.62   15612    0.75    0.59
  48762  418159 20240417 113342    2.08    2.19   11.27   8.30 9.10      99   31.75    3871   27.62   15610    0.66    0.73
  48763  418147 20240417 113525    2.92    2.92   11.26   8.30 9.11      99   31.75    3873   27.63   15618    1.10    0.66
  48759  418145 20240417 113604    3.97    4.00   11.25   8.30 9.11      99   31.75    3873   27.64   15621    1.02    0.72
  48757  418143 20240417 113619    4.96    4.79   11.22   8.31 9.10      99   31.87    3891   27.78   15702    2.09    0.79
  48756  418141 20240417 113637    5.93    5.93   11.21   8.31 9.10      99   31.98    3905   27.89   15765    2.56    0.76
  48754  418134 20240417 113719    6.95    6.95   11.34   8.33 9.20     100   32.26    3926   28.05   15861    1.35    0.88
  48752  418133 20240417 113732    8.06    8.24   11.36   8.33 9.22     101   32.36    3936   28.13   15906    2.70    0.85
  48753  418137 20240417 113754    9.13    9.15   11.36   8.33 9.19     100   32.39    3940   28.17   15925    1.93    0.88
  48754  418140 20240417 113810   10.00   10.01   11.37   8.33 9.16     100   32.43    3945   28.21   15949    1.47    0.68
  48756  418150 20240417 113915   10.92   10.91   11.29   8.31 8.91      97   32.77    3993   28.58   16167    1.35    0.78
  48756  418168 20240417 114017   12.09   12.08   11.06   8.26 8.09      89   33.69    4130   29.67   16796    0.88    0.79
  48754  418177 20240417 114055   13.02   13.02   10.99   8.25 7.89      87   33.85    4156   29.88   16918    0.44    1.00
  48750  418180 20240417 114135   14.03   14.03   10.95   8.25 7.72      85   33.96    4173   30.02   16996    0.58    0.94
  48753  418174 20240417 114221   14.98   15.01   10.87   8.24 7.52      82   33.96    4181   30.08   17032    0.55    0.91
  48759  418164 20240417 114344   15.98   16.01   10.51   8.18 6.91      75   33.77    4196   30.20   17103    0.41    1.09
  48761  418164 20240417 114428   16.96   16.99   10.35   8.15 6.64      72   33.64    4196   30.20   17104    0.44    1.20
  48759  418157 20240417 114540   18.08   18.08   10.02   8.10 6.19      67   33.25    4181   30.08   17037    1.03    1.06
  48754  418160 20240417 114621   18.97   18.96    9.80   8.08 6.05      65   33.11    4186   30.13   17063    0.52    0.83
  48751  418165 20240417 114641   19.94   19.98    9.77   8.08 6.03      64   33.08    4185   30.12   17059    0.31    1.06
  48750  418168 20240417 114659   20.96   20.98    9.72   8.07 6.01      64   33.04    4185   30.12   17059    0.75    0.89
  48749  418173 20240417 114725   22.02   22.03    9.71   8.07 5.98      64   33.03    4185   30.12   17057    0.24    1.03
  48747  418176 20240417 114739   23.02   23.01    9.69   8.07 5.96      64   33.01    4185   30.12   17058    0.23    1.06
  48746  418182 20240417 114806   23.93   23.94    9.66   8.06 5.89      63   32.99    4185   30.11   17057    0.35    1.01
  48743  418185 20240417 114829   24.98   24.98    9.66   8.06 5.87      63   32.99    4185   30.12   17058    0.68    1.38
  48741  418184 20240417 114905   26.05   26.04    9.61   8.05 5.73      61   32.96    4186   30.13   17064    0.88    1.07
  48743  418180 20240417 114931   27.01   27.03    9.59   8.04 5.67      60   32.94    4186   30.12   17063    0.27    1.09
  48745  418180 20240417 114945   28.06   27.94    9.57   8.04 5.65      60   32.92    4185   30.12   17059    0.22    1.08
  48749  418179 20240417 115001   29.11   29.09    9.56   8.04 5.61      60   32.91    4186   30.12   17063    0.18    1.16
  48752  418178 20240417 115020   29.95   29.98    9.54   8.03 5.59      59   32.90    4186   30.12   17062    0.39    1.24
  48753  418172 20240417 115042   30.99   30.99    9.54   8.03 5.57      59   32.89    4186   30.12   17060    0.24    1.26
  48754  418169 20240417 115108   32.00   32.04    9.55   8.03 5.54      59   32.90    4186   30.12   17061    0.34    1.13
  48756  418166 20240417 115137   32.96   32.96    9.53   8.02 5.46      58   32.89    4186   30.12   17063    0.52    1.17
  48756  418164 20240417 115202   34.10   34.12    9.53   8.02 5.41      58   32.88    4186   30.12   17062    0.43    1.13
  48757  418162 20240417 115216   35.06   35.10    9.53   8.02 5.39      57   32.88    4186   30.12   17062    0.20    1.08
  48760  418159 20240417 115231   36.05   36.05    9.53   8.02 5.38      57   32.88    4186   30.12   17063    0.19    1.07
  48763  418155 20240417 115252   36.98   37.03    9.53   8.02 5.38      57   32.89    4186   30.12   17063    0.39    1.15
  48766  418151 20240417 115307   37.94   37.93    9.52   8.02 5.38      57   32.88    4186   30.12   17063    0.34    1.20
  48769  418144 20240417 115329   38.95   38.97    9.52   8.02 5.40      57   32.88    4186   30.12   17062    0.71    1.23
  48768  418140 20240417 115346   40.19   40.24    9.52   8.02 5.40      57   32.88    4186   30.12   17063    0.30    1.19
  48765  418138 20240417 115409   41.00   40.99    9.52   8.02 5.40      57   32.88    4186   30.12   17063    0.59    1.40
