# VERTIKAAL 7 M.C.ECOS 8 VERTIKAAL
* 17-04-2024 10:22:03
#X: 56304 - Y: 420464
#00 DONARLOCATIE: GTS-10
#01 MEETPUNT: 1
#08 WAARNEMER(S): bernaards
@ par1.dat
## LUCHTDK    hPa <1012>
## WINDSHD    m/s <9999.9>
## WINDRTG    gradn <279>
## BEWKGD     /8 <8>

~     X       Y    DATUM   TIJD SENSHTE   Echms       T     pH   O2     %O2   GELBH   GEL20  SALNTT     CL- CHLFRFU TROEBFN
  56304  420464 20240417 102212    1.05    1.06   11.58   8.25 8.68      95   31.63    3828   27.28   15414    0.54    0.54
  56280  420498 20240417 102240    1.98    2.00   11.59   8.25 8.71      95   31.64    3829   27.28   15415    0.51    0.55
  56275  420502 20240417 102256    2.94    2.94   11.58   8.25 8.72      95   31.64    3829   27.28   15415    0.67    0.45
  56273  420505 20240417 102310    4.09    4.20   11.58   8.25 8.71      95   31.64    3829   27.28   15416    0.52    0.58
  56269  420509 20240417 102325    5.05    5.05   11.58   8.25 8.71      95   31.64    3828   27.28   15415    0.42    0.64
  56263  420512 20240417 102348    6.01    6.03   11.58   8.25 8.71      95   31.64    3829   27.28   15415    0.52    0.59
  56261  420514 20240417 102402    7.03    7.03   11.58   8.25 8.71      95   31.64    3829   27.29   15419    0.53    0.60
  56258  420514 20240417 102416    8.04    8.05   11.58   8.25 8.72      95   31.65    3830   27.29   15420    0.42    0.56
  56256  420518 20240417 102502    9.11    9.10   11.56   8.24 8.54      93   31.67    3835   27.33   15442    0.43    0.58
  56257  420524 20240417 102555   10.04   10.06   11.37   8.21 8.24      90   31.78    3866   27.58   15588    0.45    0.67
  56257  420523 20240417 102611   10.94   10.93   11.32   8.21 8.20      89   31.79    3871   27.62   15608    0.38    0.59
