# VERTIKAAL 5 M.C.ECOS 8 VERTIKAAL
* 17-04-2024 09:39:06
#X: 59098 - Y: 414929
#00 DONARLOCATIE: DREISR
#01 MEETPUNT: 1
#08 WAARNEMER(S): bernaards
@ par1.dat
## LUCHTDK    hPa <1013>
## WINDSHD    m/s <9999.9>
## WINDRTG    gradn <279>
## BEWKGD     /8 <7>

~     X       Y    DATUM   TIJD SENSHTE   Echms       T     pH   O2     %O2   GELBH   GEL20  SALNTT     CL- CHLFRFU TROEBFN
  59098  414929 20240417 93915    0.96    0.96   11.94   8.23 8.55      94   31.76    3810   27.14   15331    0.49    0.73
  59089  414926 20240417 93938    2.07    2.07   11.93   8.23 8.56      94   31.74    3809   27.13   15326    0.47    0.76
  59086  414925 20240417 94001    2.97    2.98   11.93   8.23 8.55      94   31.75    3810   27.13   15328    0.62    0.82
  59099  414922 20240417 94036    3.97    3.97   11.95   8.23 8.53      94   31.77    3811   27.14   15332    0.48    0.73
  59103  414924 20240417 94051    4.96    4.97   11.98   8.23 8.53      94   31.80    3812   27.15   15338    0.45    0.73
  59122  414929 20240417 94128    6.03    6.02   11.96   8.23 8.55      94   31.79    3811   27.15   15336    0.47    0.81
  59126  414934 20240417 94148    6.98    6.99   11.97   8.23 8.56      94   31.80    3812   27.15   15338    0.52    0.76
  59136  414952 20240417 94234    8.06    8.08   12.00   8.23 8.54      94   31.83    3813   27.16   15342    0.43    0.82
  59136  414956 20240417 94250    9.10    9.09   12.00   8.23 8.51      94   31.83    3813   27.16   15341    0.44    0.83
  59135  414961 20240417 94307   10.10   10.10   11.99   8.23 8.48      93   31.82    3813   27.16   15342    0.57    0.89
  59133  414966 20240417 94321   11.10   11.10   11.98   8.23 8.49      93   31.81    3812   27.15   15339    0.41    0.76
  59127  414968 20240417 94348   11.95   11.94   11.98   8.23 8.58      94   31.83    3814   27.17   15349    0.42    0.78
  59124  414968 20240417 94402   13.11   13.11   12.01   8.23 8.61      95   31.84    3814   27.17   15346    0.42    0.81
  59123  414969 20240417 94417   14.00   13.99   12.01   8.23 8.60      95   31.85    3814   27.17   15347    0.45    0.84
  59122  414968 20240417 94435   15.04   15.04   12.01   8.23 8.57      94   31.85    3814   27.17   15346    0.42    0.69
  59121  414967 20240417 94450   16.00   15.99   12.01   8.23 8.55      94   31.85    3814   27.17   15347    0.43    5.32
