# VERTIKAAL 4 M.C.ECOS 8 VERTIKAAL
* 01-05-2024 08:08:02
#X: 65254 - Y: 412085
#00 DONARLOCATIE: GTS-16
#01 MEETPUNT: 1
#08 WAARNEMER(S): bernaards
@ par1.dat
## TLU        oC <-->
## LUCHTDK    hPa <1010>
## WINDSHD    m/s <9999.9>
## WINDRTG    gradn <279>
## BEWKGD     /8 <2>

~     X       Y    DATUM   TIJD SENSHTE   Echms       T     pH   O2     %O2   GELBH   GEL20  SALNTT     CL- CHLFRFU TROEBFN
  65254  412085 20240501 80810    1.05    1.06   13.48   8.35 10.6     121   32.79    3792   26.98   15237    0.59    0.66
  65252  412081 20240501 80927    1.99    1.99   12.84   8.28 10.2     115   32.65    3833   27.31   15428    0.73    0.53
  65251  412080 20240501 81001    2.97    3.00   12.27   8.29 10.3     115   32.26    3839   27.36   15460    0.49    0.44
  65248  412077 20240501 81041    3.99    4.01   11.87   8.28 10.4     115   31.95    3840   27.37   15466    0.46    0.45
  65241  412073 20240501 81139    5.01    5.01   11.43   8.25 9.83     107   31.55    3832   27.31   15433    0.57    0.66
  65232  412068 20240501 81238    6.03    6.03   11.03   8.22 9.29     101   31.28    3837   27.35   15456    0.54    0.44
  65226  412065 20240501 81323    7.01    7.03   10.98   8.22 9.10      98   31.30    3843   27.40   15484    0.93    0.37
  65224  412064 20240501 81338    7.98    8.00   11.02   8.23 9.06      98   31.34    3845   27.42   15493    0.51    0.43
  65219  412062 20240501 81423    9.00    9.00   11.06   8.23 8.92      97   31.42    3851   27.46   15519    0.38    0.41
  65216  412061 20240501 81450    9.96    9.98   11.06   8.22 8.82      96   31.43    3852   27.47   15524    0.98    0.55
  65210  412058 20240501 81550   11.05   11.07   11.02   8.19 8.21      89   31.44    3856   27.51   15545    0.39    0.68
