# VERTIKAAL 8 M.C.ECOS 8 VERTIKAAL
* 01-05-2024 10:01:27
#X: 56529 - Y: 420264
#00 DONARLOCATIE: GTS-10
#01 MEETPUNT: 1
#08 WAARNEMER(S): bernaards
@ par1.dat
## TLU        oC <-->
## LUCHTDK    hPa <1009>
## WINDSHD    m/s <9999.9>
## WINDRTG    gradn <279>
## BEWKGD     /8 <1>

~     X       Y    DATUM   TIJD SENSHTE   Echms       T     pH   O2     %O2   GELBH   GEL20  SALNTT     CL- CHLFRFU TROEBFN
  56529  420264 20240501 100135    1.03    1.04   13.00   8.37 11.3     129   32.55    3807   27.11   15312    0.65    0.56
  56476  420346 20240501 100217    2.03    2.05   12.40   8.37 11.3     126   32.10    3809   27.13   15323    1.25    0.55
  56464  420364 20240501 100241    3.06    3.06   12.27   8.35 11.2     125   32.01    3810   27.13   15326    2.00    0.48
  56453  420381 20240501 100313    3.99    3.99   12.15   8.36 11.3     126   31.92    3811   27.14   15331    2.03    0.58
  56450  420386 20240501 100330    4.95    4.94   11.99   8.36 11.3     125   31.85    3816   27.18   15357    2.13    0.60
  56436  420404 20240501 100432    5.95    5.95   11.72   8.32 10.6     118   31.68    3820   27.22   15377    1.72    0.70
  56433  420407 20240501 100451    6.95    6.95   11.71   8.32 10.6     117   31.67    3820   27.22   15378    2.19    0.60
  56404  420431 20240501 100532    7.98    7.77   11.52   8.30 10.3     114   31.57    3825   27.26   15401    2.17    0.58
  56356  420460 20240501 100626    9.08    9.06   11.36   8.27 9.88     108   31.48    3830   27.30   15425    1.35    0.62
  56340  420467 20240501 100707   10.06   10.05   11.30   8.26 9.69     106   31.45    3831   27.31   15429    1.49    0.69
  56314  420473 20240501 100807   11.07   11.06   11.07   8.23 9.27     101   31.43    3851   27.46   15518    1.79    0.61
  56301  420486 20240501 100934   12.02   12.02   10.97   8.17 8.43      91   31.46    3864   27.56   15579    1.08    0.85
