# VERTIKAAL 12 M.C.ECOS 8 VERTIKAAL
* 01-05-2024 11:25:25
#X: 48772 - Y: 418162
#00 DONARLOCATIE: SCHARDKDPPT
#01 MEETPUNT: 1
#08 WAARNEMER(S): bernaards
@ par1.dat
## TLU        oC <-->
## LUCHTDK    hPa <1009>
## WINDSHD    m/s <9999.9>
## WINDRTG    gradn <279>
## BEWKGD     /8 <2>

~     X       Y    DATUM   TIJD SENSHTE   Echms       T     pH   O2     %O2   GELBH   GEL20  SALNTT     CL- CHLFRFU TROEBFN
  48772  418162 20240501 112543    1.00    1.01   13.19   8.37 11.6     132   32.71    3808   27.12   15315    0.57    0.51
  48731  418147 20240501 112722    1.99    2.01   12.39   8.41 12.2     137   32.12    3811   27.14   15333    1.24    0.64
  48716  418164 20240501 112816    3.08    3.08   12.33   8.43 12.5     140   32.13    3819   27.20   15366    3.26    0.69
  48713  418178 20240501 112925    4.06    4.06   12.16   8.41 12.2     136   32.01    3820   27.21   15373    2.14    0.75
  48715  418177 20240501 113022    4.99    4.99   11.74   8.38 12.0     133   31.75    3827   27.27   15409    2.12    0.72
  48720  418175 20240501 113051    6.00    6.01   11.60   8.38 11.9     131   31.64    3827   27.27   15410    1.81    0.54
  48722  418173 20240501 113128    7.04    7.05   11.57   8.38 11.9     130   31.62    3827   27.27   15410    3.90    0.75
  48725  418153 20240501 113306    7.96    7.96   11.47   8.30 10.3     113   32.37    3928   28.06   15867    1.75    0.82
  48723  418152 20240501 113330    8.93    8.94   11.48   8.30 10.2     113   32.43    3934   28.12   15897    3.51    0.94
  48728  418153 20240501 113403   10.00   10.02   12.00   8.34 10.4     116   33.29    3987   28.53   16137    4.16    1.17
  48717  418167 20240501 113449   10.97   11.00   12.11   8.36 10.7     120   33.65    4020   28.80   16287    6.35    1.28
  48716  418169 20240501 113503   11.98   11.97   12.16   8.36 10.7     121   33.83    4037   28.93   16362    5.84    1.44
  48710  418174 20240501 113632   13.05   13.05   11.72   8.28 9.41     105   33.80    4076   29.24   16547    6.14    1.37
  48704  418178 20240501 113653   13.99   14.00   11.70   8.28 9.35     104   33.80    4079   29.26   16558    4.74    1.36
  48699  418180 20240501 113942   14.98   15.02   10.58   8.02 5.41      59   33.21    4118   29.58   16743    2.09    0.66
  48701  418170 20240501 114201   16.00   15.99   10.29   7.94 4.31      47   33.26    4155   29.87   16915    1.54    0.64
  48712  418169 20240501 114304   17.07   17.11   10.07   7.90 3.88      42   33.22    4172   30.01   16994    0.48    0.70
  48712  418168 20240501 114336   17.95   18.00   10.03   7.89 3.78      41   33.21    4175   30.03   17009    0.77    0.59
  48713  418167 20240501 114402   19.01   19.03   10.02   7.89 3.71      40   33.21    4176   30.04   17014    0.22    0.50
  48720  418169 20240501 114440   19.98   20.00    9.99   7.88 3.50      38   33.20    4178   30.06   17025    0.31    0.55
  48724  418169 20240501 114538   21.06   21.09    9.98   7.85 3.06      33   33.21    4180   30.07   17032    0.22    0.64
  48723  418168 20240501 114626   21.98   21.97    9.98   7.84 2.87      31   33.22    4180   30.08   17035    0.31    0.57
  48734  418171 20240501 114654   22.96   22.97    9.97   7.84 2.81      30   33.21    4181   30.08   17037    0.42    0.56
  48739  418176 20240501 114725   23.98   23.97    9.95   7.83 2.70      29   33.20    4181   30.09   17039    0.40    0.57
  48739  418176 20240501 114742   24.99   25.00    9.95   7.83 2.69      29   33.19    4181   30.09   17040    0.38    0.61
  48745  418175 20240501 114843   26.05   26.10    9.92   7.86 3.07      33   33.17    4181   30.09   17040    0.22    0.69
  48750  418180 20240501 114857   27.00   27.22    9.92   7.86 3.10      33   33.17    4181   30.08   17039    0.24    0.73
  48749  418187 20240501 114918   27.98   27.98    9.91   7.86 3.11      34   33.17    4182   30.09   17040    0.14    0.67
  48749  418189 20240501 114937   29.09   29.21    9.91   7.86 3.12      34   33.17    4182   30.09   17041    0.34    0.66
  48750  418190 20240501 114951   29.85   29.87    9.91   7.86 3.11      34   33.17    4181   30.09   17040    2.83    0.81
  48752  418191 20240501 115007   31.01   30.99    9.91   7.85 3.11      33   33.17    4182   30.09   17041    0.12    0.70
  48750  418184 20240501 115039   32.08   32.07    9.91   7.85 3.07      33   33.17    4182   30.09   17042    0.23    0.77
  48748  418181 20240501 115054   32.96   32.94    9.91   7.85 3.05      33   33.17    4182   30.09   17042    0.18    0.79
  48744  418176 20240501 115114   34.05   34.10    9.90   7.85 3.02      33   33.17    4183   30.10   17045    0.16    0.66
  48741  418173 20240501 115135   34.93   34.96    9.90   7.85 2.97      32   33.17    4183   30.10   17046    0.20    0.79
  48743  418169 20240501 115208   35.98   35.96    9.90   7.85 2.94      32   33.17    4183   30.10   17048    0.16    0.86
  48741  418167 20240501 115226   37.10   37.14    9.89   7.84 2.92      31   33.17    4183   30.10   17048    0.20    0.77
  48741  418167 20240501 115241   38.07   38.07    9.89   7.84 2.90      31   33.16    4183   30.10   17048    0.19    0.64
  48743  418163 20240501 115315   39.13   39.06    9.89   7.84 2.83      30   33.17    4183   30.10   17049    0.21    0.75
  48747  418158 20240501 115338   40.04   40.09    9.89   7.84 2.81      30   33.17    4184   30.10   17050    0.20    0.91
  48748  418154 20240501 115355   40.92   40.92    9.89   7.84 2.79      30   33.17    4183   30.10   17049    0.12    0.97
  48751  418149 20240501 115419   42.02   42.01    9.89   7.83 2.75      30   33.17    4184   30.10   17050    0.19    0.79
