# VERTIKAAL 5 M.C.ECOS 8 VERTIKAAL
* 26-06-2024 09:39:12
#X: 59114 - Y: 414855
#00 DONARLOCATIE: DREISR
#01 MEETPUNT: 1
#08 WAARNEMER(S): bernaards
@ par1.dat
## TLU        oC <-->
## LUCHTDK    hPa <1012>
## WINDSHD    m/s <9999.9>
## WINDRTG    gradn <279>
## BEWKGD     /8 <0>

~     X       Y    DATUM   TIJD SENSHTE   Echms       T     pH   O2     %O2   GELBH   GEL20  SALNTT     CL- CHLFRFU TROEBFN
  59114  414855 20240626 93920    0.99    1.00   21.98   8.20 8.20     110   40.10    3847   27.39   15442    0.80    0.65
  59114  414874 20240626 94010    2.03    2.05   21.68   8.22 8.32     111   39.95    3857   27.47   15487    1.30    0.90
  59097  414883 20240626 94147    3.00    3.01   20.87   8.27 9.41     124   39.05    3834   27.29   15389    1.79    1.25
  59087  414885 20240626 94312    4.01    4.02   20.33   8.21 8.78     114   38.58    3831   27.26   15376    1.49    0.77
  59082  414886 20240626 94400    4.93    4.94   20.29   8.21 8.52     111   38.52    3828   27.24   15364    1.38    0.81
  59079  414887 20240626 94431    5.98    6.00   19.97   8.19 8.50     110   38.32    3834   27.29   15393    1.45    0.75
  59071  414890 20240626 94556    6.99    6.98   19.07   8.10 7.52      96   37.44    3820   27.18   15333    1.36    0.81
  59065  414896 20240626 94653    8.06    8.06   18.52   8.01 6.72      84   37.05    3824   27.22   15357    1.81    0.98
  59054  414906 20240626 94758    8.99    8.98   17.77   7.91 5.61      70   36.56    3836   27.31   15414    1.11    0.73
  59044  414916 20240626 94902   10.06   10.06   17.25   7.85 4.88      60   36.18    3840   27.35   15435    0.63    0.69
  59040  414920 20240626 94927   11.01   11.00   16.91   7.85 4.79      58   35.93    3842   27.37   15448    0.44    0.61
  59034  414925 20240626 95006   12.06   12.09   16.62   7.84 4.58      56   35.61    3833   27.30   15407    0.52    0.59
  59028  414930 20240626 95041   13.08   13.10   16.58   7.82 4.39      53   35.61    3836   27.32   15422    0.44    0.59
  59022  414936 20240626 95126   13.99   14.02   16.47   7.81 4.11      50   35.53    3837   27.33   15427    0.41    0.56
  59020  414938 20240626 95145   15.09   15.09   16.45   7.82 4.11      50   35.53    3839   27.35   15438    0.39    0.53
  59014  414944 20240626 95234   16.00   16.03   16.26   7.82 4.05      49   35.40    3841   27.36   15448    0.26    0.58
  59007  414950 20240626 95328   17.06   17.09   16.24   7.81 3.84      46   35.42    3846   27.40   15469    0.38    0.68
  59002  414954 20240626 95412   18.02   18.06   16.11   7.80 3.61      43   35.32    3846   27.40   15469    0.23    0.61
  58993  414960 20240626 95529   19.02   19.03   15.64   7.75 2.68      32   35.06    3858   27.50   15528    0.24    0.59
