# VERTIKAAL 3 M.C.ECOS 8 VERTIKAAL
* 26-06-2024 08:44:44
#X: 65344 - Y: 412053
#00 DONARLOCATIE: HERKGN
#01 MEETPUNT: 1
#08 WAARNEMER(S): bernaards
@ par1.dat
## TLU        oC <-->
## LUCHTDK    hPa <1012>
## WINDSHD    m/s <9999.9>
## WINDRTG    gradn <279>
## BEWKGD     /8 <0>

~     X       Y    DATUM   TIJD SENSHTE   Echms       T     pH   O2     %O2   GELBH   GEL20  SALNTT     CL- CHLFRFU TROEBFN
  65344  412053 20240626 84452    1.09    1.09   21.15   8.21 8.83     117   39.18    3824   27.21   15341    1.22    0.61
  65324  412056 20240626 84554    1.97    1.97   21.14   8.21 8.83     117   39.17    3824   27.21   15342    1.37    0.70
  65264  412067 20240626 84634    2.98    2.98   21.08   8.21 8.84     117   39.11    3823   27.20   15338    1.42    0.80
  65262  412066 20240626 84650    3.96    3.98   20.93   8.20 8.79     116   38.95    3820   27.17   15322    1.53    0.82
  65249  412072 20240626 84726    4.99    5.01   20.66   8.21 8.91     117   38.76    3823   27.20   15337    1.39    0.86
  65231  412076 20240626 84825    6.05    6.04   20.28   8.13 7.83     102   38.47    3824   27.21   15345    1.00    0.54
  65196  412082 20240626 84916    6.95    6.98   19.77   8.07 7.43      96   38.08    3826   27.23   15359    1.32    0.63
  65186  412080 20240626 85026    8.05    8.05   19.41   8.17 8.95     115   38.06    3854   27.45   15486    4.38    1.10
  65155  412084 20240626 85054    9.03    9.03   19.44   8.21 9.51     122   38.35    3881   27.66   15608    3.97    1.08
  65139  412079 20240626 85313   10.06   10.08   19.04   8.12 8.35     106   38.04    3883   27.68   15620    4.00    1.10
  65122  412077 20240626 85422   11.01   11.01   18.75   8.07 7.57      96   37.79    3881   27.67   15614    2.57    1.08
  65116  412076 20240626 85523   11.96   11.98   18.53   8.04 7.21      91   37.68    3888   27.73   15648    2.09    1.32
