# VERTIKAAL 5 M.C.ECOS 8 VERTIKAAL
* 24-07-2024 08:53:41
#X: 59069 - Y: 414882
#00 DONARLOCATIE: DREIS
#01 MEETPUNT: 1
#08 WAARNEMER(S): bernaards
@ par1.dat
## TLU        oC <-->
## LUCHTDK    hPa <1022>
## WINDSHD    m/s <9999.9>
## WINDRTG    gradn <279>
## BEWKGD     /8 <2>

~     X       Y    DATUM   TIJD SENSHTE   Echms       T     pH   O2     %O2   GELBH   GEL20  SALNTT     CL- CHLFRFU TROEBFN
  59069  414882 20240724 85350    1.06   19.47   21.12   8.08 7.67     100   39.21    3829   27.25   15365    2.81    0.00
  59065  414885 20240724 85411    2.04   18.57   21.12   8.08 7.67     100   39.21    3830   27.25   15366    2.45    0.00
  59063  414886 20240724 85428    3.05   17.73   21.12   8.08 7.67     100   39.21    3830   27.25   15366    2.38    0.00
  59049  414892 20240724 85534    4.02   17.11   21.11   8.07 7.61     100   39.22    3832   27.27   15376    4.00    0.00
  59043  414894 20240724 85606    5.11   16.16   21.11   8.07 7.60      99   39.22    3831   27.27   15374    3.22    0.00
  59042  414895 20240724 85621    6.07   15.20   21.08   8.07 7.59      99   39.20    3832   27.27   15378    3.04    0.00
  59039  414897 20240724 85646    7.09   14.28   21.08   8.07 7.58      99   39.20    3832   27.28   15380    3.37    0.00
  59038  414899 20240724 85713    8.05   13.35   21.07   8.06 7.48      98   39.21    3833   27.28   15382    3.00    0.00
  59010  414883 20240724 85808    9.02   13.01   21.06   8.05 7.27      95   39.21    3835   27.29   15391    2.44    0.00
  59005  414877 20240724 85914   10.02   12.15   20.98   8.01 6.86      90   39.20    3840   27.33   15413    2.11    0.00
  59003  414875 20240724 85931   11.03   11.20   20.92   8.01 6.83      89   39.17    3841   27.35   15421    1.94    0.00
  58999  414872 20240724 85956   12.01   10.63   20.85   8.00 6.73      88   39.12    3842   27.36   15426    2.18    0.00
  58984  414880 20240724 90048   13.05    9.44   20.74   7.98 6.48      84   39.06    3845   27.38   15439    2.14    0.00
  58983  414888 20240724 90204   14.02    8.25   19.81   7.82 4.98      64   38.51    3867   27.56   15546    0.88    0.00
  58980  414892 20240724 90315   15.02    7.39   19.25   7.76 4.32      55   38.19    3881   27.66   15609    0.53    0.00
  58980  414891 20240724 90350   15.97    6.48   18.76   7.73 4.07      51   37.88    3889   27.73   15652    0.33    0.00
  58979  414886 20240724 90429   17.12    5.35   18.30   7.72 3.83      48   37.96    3938   28.12   15875    0.34    0.00
  58980  414884 20240724 90443   18.02    4.49   18.32   7.72 3.82      48   38.02    3942   28.15   15894    0.35    0.00
  58980  414878 20240724 90513   19.04    3.50   18.31   7.72 3.69      46   38.17    3958   28.28   15969    0.38    0.00
  58980  414873 20240724 90540   19.98    2.56   18.30   7.71 3.63      45   38.16    3958   28.28   15969    0.32    0.00
  58982  414869 20240724 90600   21.04    1.54   18.29   7.71 3.59      45   38.17    3959   28.29   15974    0.30    0.00
  58982  414866 20240724 90617   22.08    0.75   18.25   7.71 3.55      44   38.15    3962   28.31   15986    0.33    0.00
