# VERTIKAAL 5 M.C.ECOS 8 VERTIKAAL
* 26-08-2024 10:19:09
#X: 59159 - Y: 414915
#00 DONARLOCATIE: DREIS
#01 MEETPUNT: 1
#08 WAARNEMER(S): Edward Hartman
@ par1.dat
## TLU        oC <-->
## LUCHTDK    hPa <1021>
## WINDSHD    m/s <9999.9>
## WINDRTG    gradn <279>
## BEWKGD     /8 <6>

~     X       Y    DATUM   TIJD SENSHTE   Echms       T     pH   O2     %O2   GELBH   GEL20  SALNTT     CL- CHLFRFU TROEBFN
  59159  414915 20240826 101917    1.01    9999   19.80   7.91 7.16      92   39.83    4000   28.61   16152    2.26    0.70
  59164  414916 20240826 101940    1.84    9999   19.78   7.92 7.17      92   39.79    3998   28.60   16145    2.49    0.59
  59169  414917 20240826 102001    2.99    9999   19.77   7.92 7.15      92   39.77    3997   28.58   16137    2.78    0.56
  59175  414919 20240826 102032    4.00    9999   19.77   7.92 7.14      92   39.77    3996   28.58   16136    2.34    0.69
  59182  414922 20240826 102102    5.02    9999   19.77   7.92 7.13      92   39.76    3996   28.58   16135    2.24    0.56
  59187  414925 20240826 102125    5.99    9999   19.77   7.92 7.12      92   39.76    3996   28.58   16134    2.08    0.72
  59190  414927 20240826 102150    7.01    9999   19.77   7.92 7.10      91   39.77    3996   28.58   16135    2.37    0.58
  59192  414931 20240826 102222    8.02    9999   19.77   7.92 7.09      91   39.78    3997   28.59   16140    2.05    0.73
  59191  414932 20240826 102246    9.05    9999   19.78   7.91 7.09      91   39.80    3998   28.59   16144    2.32    0.71
  59189  414933 20240826 102309   10.02    9999   19.78   7.90 7.06      91   39.82    4000   28.61   16155    2.03    0.65
  59186  414931 20240826 102344   11.04    9999   19.77   7.89 6.98      90   39.82    4001   28.62   16159    1.81    0.63
  59185  414928 20240826 102406   12.02    9999   19.75   7.88 6.94      89   39.82    4003   28.63   16166    2.12    0.70
  59175  414914 20240826 102518   13.02    9999   19.77   7.86 6.60      85   39.89    4008   28.68   16191    1.71    0.71
  59165  414910 20240826 102613   14.02    9999   19.88   7.70 4.57      59   40.26    4036   28.90   16318    0.67    1.09
  59151  414905 20240826 102743   15.01    9999   20.06   7.61 2.98      39   40.56    4051   29.02   16386    0.48    1.42
