# VERTIKAAL 3 M.C.ECOS 8 VERTIKAAL
* 26-08-2024 09:18:15
#X: 65264 - Y: 412100
#00 DONARLOCATIE: GTS-16
#01 MEETPUNT: 1
#08 WAARNEMER(S): Edward Hartman
@ par1.dat
## TLU        oC <-->
## LUCHTDK    hPa <1021>
## WINDSHD    m/s <9999.9>
## WINDRTG    gradn <279>
## BEWKGD     /8 <8>

~     X       Y    DATUM   TIJD SENSHTE   Echms       T     pH   O2     %O2   GELBH   GEL20  SALNTT     CL- CHLFRFU TROEBFN
  65264  412100 20240826 91824    1.06    9999   19.35   7.92 7.25      92   39.17    3971   28.38   16021    0.50    0.54
  65271  412102 20240826 91847    2.00    9999   19.35   7.92 7.23      92   39.17    3972   28.39   16026    0.43    0.43
  65276  412108 20240826 91922    2.98    9999   19.35   7.92 7.19      92   39.17    3972   28.38   16025    0.40    0.35
  65277  412115 20240826 91952    3.98    9999   19.32   7.91 7.13      91   39.15    3972   28.39   16027    0.47    0.39
  65276  412120 20240826 92020    5.02    9999   19.27   7.90 7.12      91   39.11    3972   28.39   16027    0.41    0.42
  65269  412131 20240826 92058    5.98    9999   19.34   7.92 7.16      91   39.17    3972   28.39   16027    0.46    0.43
  65247  412148 20240826 92126    7.02    9999   19.33   7.91 7.17      91   39.17    3973   28.39   16030    0.43    0.43
  65244  412150 20240826 92158    8.01    9999   19.35   7.91 7.12      91   39.17    3972   28.39   16028    0.50    0.49
  65240  412151 20240826 92233    9.02    9999   19.32   7.91 7.08      90   39.15    3972   28.39   16029    0.40    0.43
  65236  412151 20240826 92303    9.96    9999   19.31   7.91 7.08      90   39.15    3972   28.39   16029    0.44    0.39
  65232  412149 20240826 92356   10.98    9999   19.29   7.90 6.96      89   39.11    3971   28.38   16021    0.43    0.30
  65231  412147 20240826 92418   11.97    9999   19.30   7.90 7.00      89   39.14    3972   28.39   16028    0.32    0.35
  65229  412145 20240826 92443   13.02    9999   19.28   7.90 7.00      89   39.12    3973   28.39   16030    0.76    0.46
  65228  412145 20240826 92510   13.98    9999   19.25   7.89 6.91      88   39.10    3973   28.39   16030    0.35    0.35
