# VERTIKAAL 12 M.C.ECOS 8 VERTIKAAL
* 02-09-2024 12:18:51
#X: 48706 - Y: 418184
#00 DONARLOCATIE: SCHARDKDPPT
#01 MEETPUNT: 1
#08 WAARNEMER(S): bernaards
@ par1.dat
## TLU        oC <-->
## LUCHTDK    hPa <1012>
## WINDSHD    m/s <9999.9>
## WINDRTG    gradn <279>
## BEWKGD     /8 <3>

~     X       Y    DATUM   TIJD SENSHTE   Echms       T     pH   O2     %O2   GELBH   GEL20  SALNTT     CL- CHLFRFU TROEBFN
  48706  418184 20240902 121859    1.00      --   21.13   8.16 9.13     122   41.49    4052   29.02   16382    1.91    0.59
  48720  418185 20240902 121946    2.04      --   20.91   8.15 9.13     121   41.34    4056   29.05   16403    2.87    0.58
  48728  418186 20240902 122020    2.99      --   20.86   8.16 9.20     122   41.28    4054   29.04   16395    2.39    0.57
  48735  418188 20240902 122103    3.97      --   20.76   8.14 8.95     119   41.19    4054   29.04   16396    2.66    0.70
  48748  418191 20240902 122149    4.99      --   20.65   8.12 8.65     114   41.10    4055   29.04   16398    3.69    0.59
  48756  418191 20240902 122249    5.97      --   20.58   8.11 8.51     112   41.06    4055   29.05   16402    2.29    0.60
  48760  418194 20240902 122329    6.97      --   20.65   8.10 8.30     110   41.43    4087   29.30   16546    3.21    0.69
  48767  418195 20240902 122358    8.01      --   20.82   8.12 8.19     109   42.61    4188   30.11   17016    2.02    1.21
  48776  418198 20240902 122459    8.97      --   20.64   8.10 7.86     105   42.93    4235   30.49   17234    2.51    1.45
  48783  418204 20240902 122548   10.02      --   20.52   8.06 7.38      98   43.15    4268   30.75   17387    2.21    1.31
  48789  418213 20240902 122634   11.03      --   20.34   8.04 7.00      93   43.22    4291   30.94   17497    1.77    1.27
  48795  418221 20240902 122731   12.02      --   20.10   7.98 6.41      85   43.21    4312   31.11   17594    1.12    1.42
  48801  418228 20240902 122831   13.01      --   19.76   7.91 5.40      71   43.10    4332   31.27   17690    0.99    0.88
  48806  418233 20240902 122913   14.01      --   19.42   7.86 4.66      61   42.80    4334   31.28   17698    0.74    0.92
  48812  418236 20240902 123001   15.02      --   18.87   7.80 3.60      47   42.26    4329   31.25   17681    0.54    0.72
  48816  418236 20240902 123059   16.05      --   18.40   7.74 2.67      34   41.71    4317   31.15   17624    0.43    0.86
  48816  418236 20240902 123203   17.02      --   16.89   7.62 0.45       6   40.12    4292   30.95   17518    0.42    1.47
  48813  418237 20240902 123243   18.06      --   16.05   7.63 0.24       3   39.26    4280   30.85   17464    0.23    6.02
  48812  418237 20240902 123257   19.06      --   15.50   7.62 0.22       3   38.68    4270   30.78   17422    0.30    6.00
  48811  418237 20240902 123313   20.04      --   15.18   7.61 0.20       2   38.33    4261   30.71   17384    0.14    5.62
  48809  418238 20240902 123332   21.02      --   14.92   7.61 0.20       2   38.05    4256   30.67   17361    0.23    5.42
  48808  418238 20240902 123345   22.02      --   14.62   7.59 0.18       2   37.75    4252   30.63   17343    0.22    4.96
  48806  418239 20240902 123407   23.01      --   14.54   7.59 0.18       2   37.64    4248   30.60   17325    0.16    4.74
  48805  418239 20240902 123420   24.06      --   14.23   7.58 0.17       2   37.36    4245   30.58   17314    0.21    4.09
  48804  418240 20240902 123434   25.02      --   14.14   7.57 0.16       2   37.23    4240   30.54   17292    0.19    3.85
  48804  418240 20240902 123449   25.98      --   14.14   7.57 0.16       2   37.23    4240   30.54   17291    0.25    3.80
  48803  418240 20240902 123504   27.05      --   14.00   7.56 0.15       2   37.10    4239   30.53   17284    0.21    3.59
  48802  418241 20240902 123518   27.99      --   13.94   7.56 0.15       2   37.03    4237   30.52   17277    0.23    3.50
  48801  418241 20240902 123532   29.08      --   13.90   7.56 0.14       2   36.97    4235   30.50   17268    0.26    3.51
  48800  418240 20240902 123546   30.00      --   13.80   7.55 0.14       2   36.87    4233   30.48   17258    0.21    3.38
  48800  418240 20240902 123602   31.06      --   13.65   7.54 0.13       2   36.72    4230   30.46   17248    0.19    3.25
  48800  418241 20240902 123619   32.05      --   13.55   7.54 0.13       1   36.63    4230   30.46   17247    0.17    3.07
  48800  418241 20240902 123634   33.04      --   13.45   7.54 0.13       1   36.51    4226   30.43   17228    0.18    3.07
  48800  418242 20240902 123649   34.00      --   13.42   7.53 0.13       1   36.48    4225   30.42   17224    0.21    2.94
  48800  418242 20240902 123706   35.01      --   13.39   7.53 0.12       1   36.45    4224   30.42   17221    0.26    3.00
  48801  418242 20240902 123720   36.08      --   13.38   7.53 0.12       1   36.43    4223   30.41   17217    0.17    2.93
  48802  418243 20240902 123742   37.06      --   13.22   7.53 0.11       1   36.28    4222   30.40   17211    0.15    2.89
  48802  418243 20240902 123800   37.98      --   13.19   7.52 0.11       1   36.23    4219   30.38   17199    0.25    2.85
  48804  418244 20240902 123824   38.98      --   13.09   7.52 0.11       1   36.13    4218   30.36   17192    0.71    2.72
  48805  418244 20240902 123844   39.97      --   13.05   7.52 0.11       1   36.09    4217   30.36   17187    0.16    2.68
  48808  418244 20240902 123915   40.90      --   13.00   7.52 0.11       1   36.03    4215   30.35   17181    0.16    2.70
  48810  418244 20240902 123939   41.99      --   12.93   7.51 0.10       1   35.97    4214   30.34   17175    0.18    2.70
