# VERTIKAAL 12 M.C.ECOS 8 VERTIKAAL
* 09-09-2024 13:05:02
#X: 48733 - Y: 418183
#00 DONARLOCATIE: SCHARDKDPPT
#01 MEETPUNT: 1
#08 WAARNEMER(S): hofman
@ par1.dat
## LUCHTDK    hPa <1003>
## WINDSHD    m/s <9999.9>
## WINDRTG    gradn <279>
## BEWKGD     /8 <2>

~     X       Y    DATUM   TIJD SENSHTE   Echms       T     pH   O2     %O2   GELBH   GEL20  SALNTT     CL- CHLFRFU TROEBFN
  48733  418183 20240909 130511    1.05    2.27   20.89   8.05 7.96     107   41.47    4071   29.17   16471    2.35    0.83
  48736  418179 20240909 130532    1.93    2.27   20.86   8.04 7.86     105   41.45    4070   29.17   16469    2.35    0.91
  48739  418178 20240909 130551    3.12    2.27   20.88   8.05 7.88     106   41.47    4071   29.17   16471    2.50    0.95
  48743  418178 20240909 130613    3.94    2.27   20.87   8.04 7.80     105   41.46    4070   29.16   16468    2.73    0.97
  48746  418179 20240909 130631    4.96    2.27   20.87   8.04 7.84     105   41.46    4070   29.17   16470    2.42    0.84
  48749  418181 20240909 130654    6.00    2.27   20.85   8.03 7.75     104   41.44    4071   29.17   16471    1.96    0.79
  48766  418181 20240909 130732    7.09    2.27   20.88   8.04 7.15      96   41.54    4078   29.22   16503    2.67    0.87
  48780  418176 20240909 130818    8.05    2.27   20.98   7.99 6.80      92   42.90    4202   30.22   17078    0.66    0.98
  48783  418173 20240909 130852    8.92    2.27   20.78   7.94 6.15      83   43.03    4232   30.46   17218    0.95    1.04
  48784  418172 20240909 130910    9.99    2.27   20.70   7.95 6.06      82   43.22    4259   30.68   17343    0.50    0.93
  48783  418171 20240909 130937   10.89    2.27   20.65   7.95 5.91      80   43.30    4271   30.77   17398    0.54    1.03
  48783  418168 20240909 131007   12.08    2.27   20.36   7.91 5.44      73   43.21    4288   30.91   17481    0.38    1.08
  48782  418167 20240909 131027   12.96    2.27   20.19   7.88 5.03      67   43.14    4296   30.98   17520    0.61    1.05
  48769  418167 20240909 131106   14.01    2.27   19.20   7.70 2.29      30   42.14    4287   30.90   17480    0.18    0.95
  48744  418172 20240909 131352   15.03    2.27   15.92   7.58 0.28       3   39.06    4271   30.78   17424    0.21    3.10
  48744  418172 20240909 131353   16.11    2.27   15.93   7.58 0.28       3   39.07    4270   30.78   17422    0.20    3.17
  48743  418174 20240909 131424   17.03    2.27   15.43   7.56 0.21       3   38.56    4264   30.73   17395    0.11    2.36
  48742  418175 20240909 131445   18.12    2.27   15.33   7.56 0.20       2   38.45    4260   30.70   17379    0.13    2.22
  48740  418178 20240909 131512   19.01    2.27   15.25   7.56 0.18       2   38.37    4259   30.69   17374    0.07    2.06
  48738  418180 20240909 131529   20.04    2.27   14.91   7.55 0.17       2   38.03    4255   30.66   17356    0.13    2.05
  48734  418183 20240909 131602   21.11    2.27   14.76   7.54 0.16       2   37.86    4251   30.63   17338    0.14    1.85
  48731  418185 20240909 131621   21.92    2.27   14.74   7.54 0.16       2   37.84    4250   30.62   17332    0.13    1.98
  48728  418186 20240909 131642   23.08    2.27   14.68   7.54 0.15       2   37.78    4250   30.62   17333    0.17    1.81
  48725  418187 20240909 131716   24.10    2.27   14.62   7.54 0.15       2   37.72    4247   30.60   17323    0.12    1.82
  48725  418187 20240909 131732   25.06    2.27   14.55   7.53 0.14       2   37.64    4246   30.59   17316    0.13    1.86
  48723  418181 20240909 131807   26.02    2.27   14.54   7.53 0.13       2   37.63    4246   30.59   17318    0.17    1.80
  48722  418178 20240909 131830   27.02    2.27   14.47   7.53 0.13       2   37.56    4246   30.59   17315    0.09    1.84
  48723  418174 20240909 131858   28.01    2.27   14.40   7.53 0.13       2   37.49    4244   30.57   17306    0.12    1.76
  48748  418168 20240909 132130   29.11    2.27   14.32   7.53 0.10       1   37.40    4242   30.55   17298    0.13    1.75
  48747  418172 20240909 132201   30.10    2.27   14.31   7.52 0.10       1   37.39    4242   30.55   17297    0.12    1.68
  48749  418176 20240909 132230   31.03    2.27   14.29   7.52 0.10       1   37.37    4242   30.55   17297    0.15    1.68
  48752  418179 20240909 132252   31.97    2.27   14.16   7.52 0.10       1   37.24    4239   30.54   17287    0.13    1.69
  48754  418184 20240909 132317   33.08    2.27   14.04   7.51 0.09       1   37.12    4238   30.52   17280    0.12    1.70
  48754  418188 20240909 132343   34.02    2.27   14.00   7.51 0.09       1   37.08    4236   30.51   17274    0.16    1.67
  48757  418191 20240909 132417   35.05    2.27   13.90   7.50 0.09       1   36.98    4235   30.50   17269    0.13    1.68
  48760  418192 20240909 132445   36.07    2.27   13.81   7.49 0.09       1   36.88    4234   30.49   17262    0.09    1.70
  48763  418192 20240909 132512   36.94    2.27   13.75   7.49 0.09       1   36.83    4232   30.48   17255    0.18    1.66
  48766  418190 20240909 132535   37.92    2.27   13.73   7.49 0.09       1   36.81    4232   30.48   17255    0.13    1.62
  48768  418187 20240909 132610   38.98    2.27   13.70   7.49 0.08       1   36.77    4231   30.47   17252    0.15    1.68
  48769  418184 20240909 132639   39.97    2.27   13.68   7.48 0.08       1   36.75    4231   30.47   17250    0.06    1.59
  48770  418183 20240909 132702   41.10    2.27   13.67   7.48 0.08       1   36.75    4231   30.47   17250    0.10    1.69
