# VERTIKAAL 8 M.C.ECOS 8 VERTIKAAL
* 09-09-2024 11:44:54
#X: 53974 - Y: 421124
#00 DONARLOCATIE: GTS-08
#01 MEETPUNT: 1
#08 WAARNEMER(S): hofman
@ par1.dat
## LUCHTDK    hPa <1003>
## WINDSHD    m/s <9999.9>
## WINDRTG    gradn <279>
## BEWKGD     /8 <4>

~     X       Y    DATUM   TIJD SENSHTE   Echms       T     pH   O2     %O2   GELBH   GEL20  SALNTT     CL- CHLFRFU TROEBFN
  53974  421124 20240909 114502    1.06    0.99   20.98   8.03 7.84     105   41.38    4053   29.03   16391    1.89    0.85
  53966  421121 20240909 114524    2.04    0.99   20.98   8.03 7.84     105   41.38    4054   29.03   16393    2.25    0.71
  53965  421120 20240909 114542    3.01    0.99   20.97   8.03 7.82     105   41.37    4054   29.03   16394    2.39    0.79
  53963  421118 20240909 114607    3.97    0.99   20.95   8.03 7.78     104   41.36    4054   29.03   16393    2.17    0.77
  53960  421113 20240909 114644    4.96    0.99   20.93   8.02 7.63     102   41.36    4055   29.05   16400    1.33    0.76
  53959  421105 20240909 114737    5.91    0.99   20.93   7.97 6.85      92   41.44    4063   29.11   16438    1.08    0.74
  53944  421049 20240909 114828    7.10    0.99   20.75   7.92 5.77      78   42.65    4198   30.19   17060    0.67    0.68
  53935  421046 20240909 114909    8.05    0.99   20.69   7.90 5.34      72   42.76    4215   30.32   17137    0.18    0.56
  53931  421042 20240909 114939    9.02    0.99   20.62   7.92 5.38      72   42.92    4235   30.49   17234    0.33    0.71
  53922  421032 20240909 115028   10.09    0.99   20.49   7.87 4.83      65   42.97    4253   30.63   17316    0.15    0.93
  53913  421023 20240909 115106   10.95    0.99   20.36   7.85 4.55      61   43.06    4273   30.79   17409    0.24    0.93
  53895  421006 20240909 115211   11.99    0.99   20.00   7.74 3.52      47   42.99    4299   31.00   17535    0.16    1.43
