# VERTIKAAL 5 M.C.ECOS 8 VERTIKAAL
* 09-09-2024 10:41:09
#X: 59224 - Y: 414724
#00 DONARLOCATIE: DREISR
#01 MEETPUNT: 1
#08 WAARNEMER(S): hofman
@ par1.dat
## LUCHTDK    hPa <1003>
## WINDSHD    m/s <9999.9>
## WINDRTG    gradn <279>
## BEWKGD     /8 <5>

~     X       Y    DATUM   TIJD SENSHTE   Echms       T     pH   O2     %O2   GELBH   GEL20  SALNTT     CL- CHLFRFU TROEBFN
  59224  414724 20240909 104117    0.98    0.99   20.88   8.07 7.84     105   41.25    4049   28.99   16369    2.40    0.82
  59220  414724 20240909 104136    2.14    0.99   20.87   8.07 7.82     105   41.24    4049   28.99   16371    2.80    0.80
  59220  414718 20240909 104155    3.02    0.99   20.87   8.07 7.81     105   41.24    4049   29.00   16372    2.90    0.76
  59220  414717 20240909 104219    4.00    0.99   20.86   8.07 7.76     104   41.24    4050   29.01   16377    2.96    0.82
  59221  414717 20240909 104238    5.02    0.99   20.85   8.05 7.72     104   41.27    4053   29.03   16392    2.72    0.77
  59219  414715 20240909 104319    5.89    0.99   20.85   8.04 7.48     100   41.33    4060   29.08   16422    2.81    0.87
  59212  414703 20240909 104409    6.93    0.99   20.84   7.97 7.01      94   41.55    4082   29.26   16524    2.69    0.79
  59188  414671 20240909 104454    8.10    0.99   20.44   7.73 4.37      58   42.04    4165   29.93   16910    1.17    0.77
  59187  414674 20240909 104525    8.97    0.99   20.26   7.71 3.75      50   42.28    4205   30.24   17095    0.95    0.72
  59186  414679 20240909 104602   10.09    0.99   20.36   7.83 4.46      60   42.74    4241   30.54   17264    0.42    0.66
  59185  414683 20240909 104624   10.89    0.99   20.34   7.82 4.54      61   42.72    4241   30.54   17263    0.29    0.66
  59181  414689 20240909 104659   12.04    0.99   20.12   7.75 4.02      54   42.56    4245   30.57   17282    0.49    0.68
  59178  414694 20240909 104722   13.04    0.99   20.07   7.74 3.86      51   42.54    4247   30.58   17291    0.33    0.67
