# VERTIKAAL 3 M.C.ECOS 8 VERTIKAAL
* 09-09-2024 09:49:45
#X: 65259 - Y: 412062
#00 DONARLOCATIE: HERKGN
#01 MEETPUNT: 1
#08 WAARNEMER(S): hofman
@ par1.dat
## LUCHTDK    hPa <1003>
## WINDSHD    m/s <9999.9>
## WINDRTG    gradn <279>
## BEWKGD     /8 <7>

~     X       Y    DATUM   TIJD SENSHTE   Echms       T     pH   O2     %O2   GELBH   GEL20  SALNTT     CL- CHLFRFU TROEBFN
  65259  412062 20240909 94948    0.94      --   20.70   8.05 7.27      97   40.88    4028   28.83   16275    1.62    0.61
  65261  412073 20240909 95031    2.04      --   20.70   7.96 6.94      93   41.22    4061   29.10   16429    1.89    0.57
  65262  412080 20240909 95103    3.03      --   20.70   7.96 7.04      94   41.46    4085   29.28   16538    2.72    0.84
  65264  412085 20240909 95129    3.90      --   20.69   7.95 7.02      94   41.46    4086   29.29   16543    2.76    0.89
  65265  412091 20240909 95208    4.93      --   20.71   7.73 4.74      64   41.87    4125   29.60   16721    1.56    0.47
  65266  412094 20240909 95234    5.95      --   20.73   7.71 4.20      56   41.93    4129   29.64   16743    3.58    0.47
  65267  412099 20240909 95326    6.92      --   20.35   7.68 3.42      46   42.13    4182   30.06   16990    0.53    0.60
  65267  412101 20240909 95351    8.09      --   20.20   7.73 3.75      50   42.33    4215   30.33   17142    0.50    0.51
  65267  412102 20240909 95411    9.02      --   20.17   7.75 3.83      51   42.40    4224   30.40   17186    0.57    0.49
  65268  412104 20240909 95452   10.02      --   19.93   7.69 3.45      46   42.30    4236   30.50   17241    0.25    0.68
