# VERTIKAAL 3 M.C.ECOS 8 VERTIKAAL
* 11-12-2024 10:32:07
#X: 48744 - Y: 418169
#00 DONARLOCATIE: SCHARDKDPPT
#01 MEETPUNT: 1
#08 WAARNEMER(S): bernaards
@ par1.dat
## TLU        oC <-->
## LUCHTDK    hPa <1030>
## WINDSHD    m/s <-->
## WINDRTG    gradn <-->
## BEWKGD     /8 <8>

~     X       Y    DATUM   TIJD SENSHTE   Echms       T     pH   O2     %O2   GELBH   GEL20  SALNTT     CL- CHLFRFU TROEBFN
  48744  418169 20241211 103216    1.08      --    6.94   7.89 9.80      96   29.54    4018   28.80   16304    0.22    0.76
  48744  418169 20241211 103232    1.98      --    6.97   7.89 9.79      96   29.58    4020   28.82   16312    0.23    0.70
  48744  418169 20241211 103252    2.98      --    6.98   7.89 9.77      96   29.60    4021   28.83   16317    0.18    0.82
  48744  418169 20241211 103314    4.06      --    6.98   7.89 9.75      95   29.60    4022   28.83   16320    0.24    0.79
  48744  418169 20241211 103334    5.00      --    6.99   7.89 9.74      95   29.61    4022   28.83   16320    0.21    0.84
  48744  418169 20241211 103352    5.97      --    6.99   7.89 9.74      95   29.61    4022   28.83   16319    0.19    0.80
  48744  418169 20241211 103412    6.96      --    6.99   7.89 9.73      95   29.61    4022   28.83   16320    0.21    0.69
  48744  418169 20241211 103433    7.97      --    6.99   7.89 9.72      95   29.61    4022   28.83   16322    0.18    0.88
  48744  418169 20241211 103447    8.97      --    6.99   7.89 9.73      95   29.61    4022   28.83   16321    0.20    0.85
  48744  418169 20241211 103504   10.02      --    6.99   7.89 9.72      95   29.61    4022   28.83   16320    0.17    0.99
  48744  418169 20241211 103532   10.97      --    6.99   7.89 9.71      95   29.61    4022   28.83   16321    0.19    0.77
  48744  418169 20241211 103547   11.93      --    6.99   7.89 9.71      95   29.61    4022   28.83   16320    0.17    0.89
  48744  418169 20241211 103604   13.13      --    6.99   7.89 9.71      95   29.61    4022   28.83   16322    0.17    1.02
  48744  418169 20241211 103622   14.07      --    6.99   7.89 9.71      95   29.61    4022   28.84   16322    0.11    0.89
  48744  418169 20241211 103637   14.93      --    6.99   7.89 9.70      95   29.61    4022   28.84   16323    0.19    0.94
  48744  418169 20241211 103705   16.01      --    6.99   7.89 9.71      95   29.62    4022   28.83   16322    0.15    0.86
  48744  418169 20241211 103728   17.02      --    6.99   7.89 9.70      95   29.62    4023   28.84   16323    0.14    0.85
  48744  418169 20241211 103751   18.02      --    7.00   7.89 9.70      95   29.62    4023   28.84   16324    0.19    0.87
  48744  418169 20241211 103805   18.90      --    7.00   7.89 9.70      95   29.62    4023   28.84   16324    0.19    0.94
  48744  418169 20241211 103821   20.07      --    7.00   7.89 9.69      95   29.63    4024   28.84   16328    0.21    0.97
  48744  418169 20241211 103839   20.93      --    7.01   7.89 9.68      95   29.64    4024   28.85   16330    0.15    1.05
  48744  418169 20241211 103910   22.07      --    7.14   7.89 9.59      94   29.80    4032   28.91   16368    0.20    2.32
  48744  418169 20241211 103941   22.94      --    7.34   7.89 9.43      93   30.14    4057   29.10   16477    0.23    2.36
  48744  418169 20241211 104014   24.08      --    7.49   7.88 9.29      92   30.35    4069   29.21   16536    0.22    2.19
  48744  418169 20241211 104122   25.06      --    7.83   7.87 8.93      89   30.86    4102   29.46   16682    0.19    1.80
  48744  418169 20241211 104136   25.99      --    7.85   7.87 8.94      90   30.93    4108   29.51   16713    0.19    2.20
  48744  418169 20241211 104204   27.01      --    7.89   7.87 8.98      90   31.02    4116   29.57   16747    0.20    2.22
  48744  418169 20241211 104227   28.15      --    7.95   7.87 8.98      90   31.13    4125   29.64   16787    0.17    2.76
  48744  418169 20241211 104243   28.99      --    7.96   7.87 8.99      90   31.14    4125   29.64   16789    0.17    2.34
  48744  418169 20241211 104310   30.03      --    7.97   7.87 8.97      90   31.16    4127   29.66   16798    0.15    2.45
  48744  418169 20241211 104324   30.94      --    7.98   7.87 8.96      90   31.19    4129   29.67   16805    0.22    2.57
  48744  418169 20241211 104344   32.10      --    8.00   7.87 8.94      90   31.22    4130   29.68   16812    0.18    2.43
  48744  418169 20241211 104409   32.99      --    8.00   7.87 8.89      90   31.22    4132   29.70   16819    0.14    2.39
  48744  418169 20241211 104429   34.08      --    8.00   7.87 8.93      90   31.23    4132   29.70   16821    0.20    2.52
  48744  418169 20241211 104445   35.02      --    8.02   7.86 8.92      90   31.25    4132   29.70   16822    0.15    2.41
  48744  418169 20241211 104513   35.95      --    8.04   7.85 8.81      89   31.27    4134   29.71   16828    0.18    2.37
  48744  418169 20241211 104540   37.05      --    8.05   7.85 8.76      88   31.28    4134   29.71   16829    0.16    2.31
  48744  418169 20241211 104556   38.08      --    8.05   7.85 8.73      88   31.29    4134   29.72   16831    0.13    2.27
  48744  418169 20241211 104616   38.99      --    8.05   7.85 8.73      88   31.29    4135   29.72   16832    0.17    2.19
  48744  418169 20241211 104637   39.94      --    8.06   7.85 8.71      88   31.29    4135   29.72   16833    0.14    2.58
  48744  418169 20241211 104717   40.82      --    8.05   7.85 8.73      88   31.29    4135   29.72   16833    0.11    2.37
