# VERTIKAAL 2 M.C.ECOS 8 VERTIKAAL
* 11-12-2024 09:32:41
#X: 59090 - Y: 414900
#00 DONARLOCATIE: DREISR
#01 MEETPUNT: 1
#08 WAARNEMER(S): bernaards
@ par1.dat
## TLU        oC <-->
## LUCHTDK    hPa <1030>
## WINDSHD    m/s <-->
## WINDRTG    gradn <-->
## BEWKGD     /8 <8>

~     X       Y    DATUM   TIJD SENSHTE   Echms       T     pH   O2     %O2   GELBH   GEL20  SALNTT     CL- CHLFRFU TROEBFN
  59090  414900 20241211 93250    1.05      --    6.28   7.87 10.0      97   28.38    3928   28.09   15893    0.23    0.75
  59090  414900 20241211 93308    1.93      --    6.28   7.87 10.0      97   28.38    3928   28.09   15895    0.28    0.75
  59090  414900 20241211 93329    3.01      --    6.30   7.87 10.0      97   28.40    3929   28.10   15898    0.27    0.76
  59090  414900 20241211 93400    4.06      --    6.32   7.87 10.0      97   28.42    3930   28.11   15903    0.22    0.74
  59090  414900 20241211 93423    4.94      --    6.37   7.87 10.0      97   28.48    3932   28.12   15911    0.19    0.67
  59090  414900 20241211 93454    6.06      --    6.45   7.87 10.0      97   28.59    3938   28.17   15940    0.28    0.82
  59090  414900 20241211 93513    6.95      --    6.48   7.87 10.0      96   28.64    3943   28.21   15961    0.21    0.76
  59090  414900 20241211 93543    7.99      --    6.47   7.87 9.94      96   28.73    3955   28.31   16018    0.21    0.78
  59090  414900 20241211 93558    9.03      --    6.72   7.87 9.93      96   28.97    3963   28.37   16054    0.21    0.69
  59090  414900 20241211 93613    9.97      --    6.69   7.87 9.91      96   28.96    3965   28.38   16060    0.17    0.69
  59090  414900 20241211 93627   11.01      --    6.70   7.87 9.91      96   29.00    3969   28.41   16079    0.19    0.73
  59090  414900 20241211 93657   11.99      --    6.80   7.86 9.83      96   29.13    3977   28.47   16114    0.21    0.63
  59090  414900 20241211 93718   12.99      --    6.85   7.86 9.80      95   29.18    3979   28.49   16123    0.17    0.59
  59090  414900 20241211 93741   14.95      --    6.90   7.86 9.78      95   29.25    3982   28.51   16137    0.16    0.59
  59090  414900 20241211 93756   14.98      --    6.89   7.86 9.78      95   29.24    3982   28.52   16140    0.17    0.64
  59090  414900 20241211 93823   15.90      --    6.91   7.86 9.77      95   29.26    3983   28.52   16142    0.21    0.57
  59090  414900 20241211 93908   17.08      --    6.91   7.86 9.77      95   29.26    3983   28.52   16142    0.22    0.60
  59090  414900 20241211 93922   17.91      --    6.89   7.86 9.77      95   29.24    3983   28.52   16140    0.14    0.64
  59090  414900 20241211 93947   18.95      --    6.87   7.86 9.76      95   29.24    3984   28.54   16149    0.16    0.63
  59090  414900 20241211 94001   20.06      --    6.92   7.86 9.74      95   29.32    3989   28.57   16172    0.19    0.78
  59090  414900 20241211 94022   20.98      --    6.93   7.86 9.72      95   29.34    3991   28.59   16180    0.17    0.78
