# VERTIKAAL 1 M.C.ECOS 8 VERTIKAAL
* 11-12-2024 08:50:01
#X: 65250 - Y: 412100
#06 PROJECTCODE: GTS
#00 DONARLOCATIE: HERKGN
#01 MEETPUNT: 1
#08 WAARNEMER(S): bernaards
#21 MEETGEBIED: GREVELINGEN
#22 STARTPUNT: bruinisse
#23 EINDPUNT: bruinisse
#51 OPDRACHTGEVER: ZLXXAXAMDBG
#52 BEHEERDER: ZLXXAXBMDBG
@ par1.dat
## TLU        oC <-->
## LUCHTDK    hPa <1030>
## WINDSHD    m/s <-->
## WINDRTG    gradn <-->
## BEWKGD     /8 <8>

~     X       Y    DATUM   TIJD SENSHTE   Echms       T     pH   O2     %O2   GELBH   GEL20  SALNTT     CL- CHLFRFU TROEBFN
  65250  412100 20241211 85011    0.98      --    6.64   7.81 9.84      95   28.81    3950   28.26   15991    0.22    0.70
  65250  412100 20241211 85048    1.97      --    6.64   7.81 9.84      95   28.82    3950   28.27   15994    0.24    0.76
  65250  412100 20241211 85104    3.00      --    6.64   7.81 9.84      95   28.82    3950   28.27   15995    0.20    0.81
  65250  412100 20241211 85127    3.95      --    6.64   7.81 9.86      95   28.82    3950   28.27   15995    0.26    0.74
  65250  412100 20241211 85146    4.95      --    6.64   7.81 9.86      95   28.82    3951   28.27   15997    0.59    0.66
  65250  412100 20241211 85201    5.99      --    6.65   7.81 9.84      95   28.83    3951   28.28   15999    0.20    0.75
  65250  412100 20241211 85217    6.95      --    6.66   7.81 9.84      95   28.84    3952   28.28   16003    0.19    0.69
  65250  412100 20241211 85234    8.05      --    6.66   7.81 9.85      95   28.85    3953   28.29   16006    0.20    0.75
  65250  412100 20241211 85257    8.96      --    6.66   7.81 9.85      95   28.86    3954   28.30   16012    0.19    0.69
  65250  412100 20241211 85317    9.91      --    6.68   7.81 9.83      95   28.88    3955   28.31   16018    0.21    0.75
  65250  412100 20241211 85343   10.94      --    6.67   7.81 9.82      95   28.88    3955   28.30   16016    0.16    0.77
  65250  412100 20241211 85404   11.98      --    6.71   7.81 9.82      95   28.91    3956   28.31   16022    0.18    0.77
  65250  412100 20241211 85429   13.01      --    6.72   7.81 9.78      95   28.96    3961   28.35   16042    0.24    0.78
