# VERTIKAAL 20 M.C.ECOS 8 VERTIKAAL
* 05-02-2025 13:35:46
#X: 48744 - Y: 418169
#00 DONARLOCATIE: SCHARDKDPPT
#01 MEETPUNT: 1
#08 WAARNEMER(S): bernaards
@ par1.dat
## TLU        oC <-->
## LUCHTDK    hPa <1038>
## WINDSHD    m/s <-->
## WINDRTG    gradn <-->
## BEWKGD     /8 <4>

~     X       Y    DATUM   TIJD SENSHTE   Echms       T     pH   O2     %O2   GELBH   GEL20  SALNTT     CL- CHLFRFU TROEBFN
  48744  418169 20250205 133606    1.00   44.29    4.65   8.05 10.7      98   27.11    3920   28.04   15867    0.21    1.49
  48744  418169 20250205 133624    1.96   43.38    4.62   8.05 10.7      98   27.09    3921   28.04   15868    0.31    1.31
  48744  418169 20250205 133640    2.97    0.00    4.64   8.05 10.7      98   27.16    3928   28.11   15904    0.39    1.43
  48744  418169 20250205 133654    4.05    0.00    4.67   8.05 10.7      98   27.21    3932   28.13   15921    0.41    1.40
  48744  418169 20250205 133708    4.95   39.97    4.66   8.05 10.7      98   27.30    3946   28.24   15982    0.44    1.61
  48744  418169 20250205 133748    6.05   38.86    4.76   8.03 10.5      97   27.59    3977   28.49   16127    0.39    2.42
  48744  418169 20250205 133819    6.97   37.89    4.80   8.02 10.4      97   27.91    4019   28.81   16314    0.35    3.20
  48744  418169 20250205 133946    8.00   36.71    4.86   8.02 10.3      96   28.06    4034   28.93   16384    0.34    3.34
  48744  418169 20250205 134017    9.03   35.67    4.90   8.01 10.3      95   28.17    4046   29.03   16438    0.34    3.50
  48744  418169 20250205 134059    9.99   34.47    5.01   8.00 10.1      94   28.36    4061   29.15   16506    0.37    3.53
  48744  418169 20250205 134123   11.04   23.00    5.04   8.00 10.0      94   28.41    4064   29.17   16520    0.27    3.64
  48744  418169 20250205 134142   12.09   32.30    4.92   8.00 10.0      94   28.37    4073   29.24   16562    0.44    4.67
  48744  418169 20250205 134208   13.09   22.44    4.87   8.01 10.2      95   28.36    4076   29.27   16575    0.29    6.68
  48744  418169 20250205 134222   14.04    0.00    4.90   8.00 10.2      95   28.42    4080   29.30   16597    0.30    6.84
  48744  418169 20250205 134315   14.95   29.63    5.37   7.96 9.40      88   28.91    4100   29.46   16685    0.27    5.06
  48744  418169 20250205 134343   16.00   28.60    5.55   7.95 9.22      87   29.02    4096   29.42   16664    0.34    3.75
  48744  418169 20250205 134416   16.98    0.00    5.58   7.95 8.99      85   29.08    4100   29.46   16686    0.25    3.52
  48744  418169 20250205 134444   17.95   27.08    5.47   7.96 9.09      86   29.02    4103   29.48   16697    0.31    4.63
  48744  418169 20250205 134459   19.06   26.17    5.55   7.95 9.10      86   29.08    4104   29.49   16703    0.25    4.05
  48744  418169 20250205 134520   20.06   25.20    5.47   7.96 9.09      86   29.04    4108   29.52   16720    0.29    3.91
  48744  418169 20250205 134555   21.04   24.33    5.29   7.97 9.40      88   28.89    4105   29.50   16709    0.22    5.12
  48744  418169 20250205 134648   22.04   23.34    5.09   7.99 9.78      91   28.73    4104   29.49   16705    0.40    6.96
  48744  418169 20250205 134728   23.04   22.34    5.41   7.96 9.33      88   29.04    4113   29.56   16745    0.26    5.42
  48744  418169 20250205 134745   23.99   18.76    5.47   7.96 9.30      88   29.06    4109   29.53   16727    0.23    3.71
  48744  418169 20250205 134819   25.01   20.13    5.52   7.95 9.10      86   29.14    4115   29.57   16753    0.21    3.46
  48744  418169 20250205 134845   26.07   18.97    5.57   7.95 9.00      85   29.19    4116   29.58   16758    0.20    3.21
  48744  418169 20250205 134903   26.99   18.14    5.59   7.95 8.95      85   29.20    4117   29.59   16761    0.17    2.90
  48744  418169 20250205 134922   28.10   16.96    5.59   7.95 8.92      84   29.21    4117   29.59   16762    0.19    3.38
  48744  418169 20250205 134938   29.02    0.00    5.63   7.95 8.90      84   29.25    4119   29.60   16770    0.21    2.82
  48744  418169 20250205 134952   29.93   15.58    5.61   7.95 8.91      84   29.24    4120   29.61   16774    0.15    2.72
  48744  418169 20250205 135011   31.10   14.15    5.61   7.95 8.93      84   29.24    4120   29.61   16775    0.13    2.72
  48744  418169 20250205 135028   31.95   13.28    5.61   7.95 8.94      84   29.24    4120   29.61   16776    0.25    2.48
  48744  418169 20250205 135043   33.00   12.38    5.61   7.95 8.94      85   29.25    4121   29.62   16779    0.15    2.49
  48744  418169 20250205 135116   34.04   11.01    5.61   7.95 8.95      85   29.25    4121   29.62   16779    0.19    2.40
  48744  418169 20250205 135134   34.93   10.10    5.60   7.94 8.94      84   29.25    4121   29.62   16780    0.19    2.59
  48744  418169 20250205 135201   35.92    8.94    5.60   7.94 8.94      84   29.24    4121   29.63   16782    0.20    2.48
  48744  418169 20250205 135231   36.91    7.90    5.60   7.94 8.94      84   29.25    4122   29.63   16785    0.16    2.58
  48744  418169 20250205 135307   38.00    6.85    5.59   7.94 8.97      85   29.24    4121   29.63   16783    0.16    2.50
