# VERTIKAAL 7 M.C.ECOS 8 VERTIKAAL
* 05-03-2025 10:30:40
#X: 61220 - Y: 413050
#00 DONARLOCATIE: GTS-14
#01 MEETPUNT: 1
#08 WAARNEMER(S): bernaards
@ par1.dat
## TLU        oC <-->
## LUCHTDK    hPa <1024>
## WINDSHD    m/s <-->
## WINDRTG    gradn <-->
## BEWKGD     /8 <0>

~     X       Y    DATUM   TIJD SENSHTE   Echms       T     pH   O2     %O2   GELBH   GEL20  SALNTT     CL- CHLFRFU TROEBFN
  61220  413050 20250305 103048    1.08    9.66    6.00   8.72 15.7     150   28.16    3926   28.08   15889    0.20    1.35
  61220  413050 20250305 103128    2.12    8.54    5.99   8.72 15.6     150   28.16    3927   28.09   15893    0.25    1.30
  61220  413050 20250305 103147    3.03    7.53    5.98   8.72 15.6     150   28.15    3927   28.09   15892    0.41    1.36
  61220  413050 20250305 103219    3.96    6.59    5.96   8.72 15.7     150   28.14    3927   28.09   15892    0.55    1.39
  61220  413050 20250305 103249    4.96    5.61    5.94   8.71 15.7     151   28.14    3929   28.10   15901    0.76    1.40
  61220  413050 20250305 103332    6.04    4.53    5.82   8.62 13.7     131   28.08    3934   28.14   15923    1.17    1.45
  61220  413050 20250305 103437    6.95    3.59    5.68   8.46 13.0     124   28.16    3959   28.34   16041    9.46    2.27
  61220  413050 20250305 103516    8.02    2.56    5.77   8.46 13.3     128   28.34    3976   28.47   16114    8.17    2.40
  61220  413050 20250305 103537    9.01    1.53    5.76   8.46 13.3     128   28.34    3976   28.47   16115    6.92    1.99
  61220  413050 20250305 103626   10.02    0.00    5.74   8.43 12.9     123   28.33    3977   28.48   16120    6.62    2.42
