# VERTIKAAL 5 M.C.ECOS 8 VERTIKAAL
* 05-03-2025 09:48:08
#X: 65250 - Y: 412100
#00 DONARLOCATIE: HERKGN
#01 MEETPUNT: 1
#08 WAARNEMER(S): bernaards
@ par1.dat
## TLU        oC <-->
## LUCHTDK    hPa <1024>
## WINDSHD    m/s <-->
## WINDRTG    gradn <-->
## BEWKGD     /8 <0>

~     X       Y    DATUM   TIJD SENSHTE   Echms       T     pH   O2     %O2   GELBH   GEL20  SALNTT     CL- CHLFRFU TROEBFN
  65250  412100 20250305 94817    1.12   13.71    5.84   8.76 17.3     165   28.04    3927   28.08   15890    0.45    1.51
  65250  412100 20250305 94950    1.96   14.19    5.86   8.75 17.3     165   28.08    3929   28.10   15900    0.61    1.43
  65250  412100 20250305 95039    2.99   12.59    5.84   8.76 17.3     165   28.05    3928   28.09   15895    0.78    1.48
  65250  412100 20250305 95104    4.07   11.56    5.85   8.76 17.3     165   28.06    3929   28.10   15899    0.88    1.44
  65250  412100 20250305 95142    4.99   11.01    5.86   8.75 17.2     165   28.08    3930   28.11   15904    2.13    1.57
  65250  412100 20250305 95217    6.08    9.98    6.00   8.71 17.1     165   28.27    3942   28.20   15959    5.33    2.41
  65250  412100 20250305 95332    6.95    9.11    6.04   8.67 17.0     164   28.43    3960   28.35   16043    9.18    2.59
  65250  412100 20250305 95436    8.05    7.48    6.03   8.62 16.1     155   28.48    3967   28.40   16074    6.95    2.00
  65250  412100 20250305 95527    8.93    5.80    5.95   8.60 15.6     150   28.43    3969   28.42   16085    7.94    2.58
  65250  412100 20250305 95610    9.97    4.54    5.89   8.56 15.1     145   28.42    3974   28.46   16105    9.45    1.94
  65250  412100 20250305 95730   11.03    4.53    5.77   8.50 14.2     136   28.39    3983   28.53   16147    5.19    1.98
  65250  412100 20250305 95805   12.02    3.89    5.75   8.47 13.9     133   28.39    3986   28.55   16160    8.79    1.90
  65250  412100 20250305 95850   12.96    3.01    5.71   8.45 13.5     130   28.39    3989   28.58   16174    3.38    1.86
  65250  412100 20250305 95915   14.10    1.88    5.71   8.44 13.4     128   28.39    3990   28.59   16180    4.33    2.25
  65250  412100 20250305 95938   15.05    0.98    5.70   8.44 13.4     128   28.39    3990   28.59   16181    4.20    2.13
