# VERTIKAAL 18 M.C.ECOS 8 VERTIKAAL
* 02-04-2025 11:26:08
#X: 47960 - Y: 418357
#00 DONARLOCATIE: GTS-02
#01 MEETPUNT: 1
#08 WAARNEMER(S): bernaaards
@ par1.dat
## TLU        oC <-->
## LUCHTDK    hPa <1024>
## WINDSHD    m/s <-->
## WINDRTG    gradn <-->
## BEWKGD     /8 <0>

~     X       Y    DATUM   TIJD SENSHTE   Echms       T     pH   O2     %O2   GELBH   GEL20  SALNTT     CL- CHLFRFU TROEBFN
  47960  418357 20250402 112616    1.03   15.28    9.38   8.53 10.5     110   31.36    4006   28.69   16235    0.31    0.93
  47960  418357 20250402 112634    1.98   15.14    9.39   8.53 10.5     110   31.36    4006   28.69   16235    0.66    0.90
  47960  418357 20250402 112656    3.02   14.30    9.38   8.54 10.6     110   31.35    4006   28.69   16234    0.71    0.89
  47960  418357 20250402 112711    4.04   13.20    9.36   8.54 10.6     110   31.33    4005   28.69   16231    1.74    0.86
  47960  418357 20250402 112724    5.07   12.23    9.36   8.54 10.6     110   31.33    4005   28.69   16231    2.25    0.82
  47960  418357 20250402 112738    6.05   11.81    9.36   8.54 10.6     110   31.33    4005   28.69   16233    1.56    0.89
  47960  418357 20250402 112751    7.04   10.56    9.33   8.54 10.6     110   31.31    4005   28.69   16232    3.15    0.87
  47960  418357 20250402 112805    8.01   10.21    9.35   8.54 10.6     110   31.33    4005   28.68   16230    1.80    0.92
  47960  418357 20250402 112825    9.04    8.51    9.36   8.54 10.6     110   31.33    4004   28.68   16229    2.01    0.91
  47960  418357 20250402 112838   10.04    7.88    9.32   8.53 10.6     110   31.30    4005   28.69   16233    1.42    0.95
  47960  418357 20250402 112853   10.96    6.96    9.32   8.53 10.6     110   31.31    4007   28.70   16239    1.83    0.96
  47960  418357 20250402 112920   11.99    5.81    9.31   8.52 10.5     110   31.34    4012   28.74   16263    0.86    1.03
  47960  418357 20250402 112954   12.98    0.00    9.34   8.51 10.4     108   31.53    4033   28.91   16358    1.24    1.50
  47960  418357 20250402 113039   13.99    3.60    9.24   8.48 10.2     107   31.71    4066   29.17   16509    2.07    2.17
  47960  418357 20250402 113058   15.01    2.80    9.16   8.46 10.2     106   31.71    4074   29.23   16547    2.03    2.44
  47960  418357 20250402 113115   16.00    1.48    9.03   8.45 10.1     105   31.67    4082   29.30   16585    2.29    1.90
  47960  418357 20250402 113133   16.97    0.95    8.72   8.44 10.1     104   31.49    4090   29.37   16626    3.02    2.01
