# VERTIKAAL 1 M.C.ECOS 8 VERTIKAAL
* 06-05-2025 08:37:43
#X: 47466 - Y: 418850
#06 PROJECTCODE: GTS
#00 DONARLOCATIE: GTS-01
#01 MEETPUNT: 1
#08 WAARNEMER(S): Hartman
#21 MEETGEBIED: GREVELINGEN
#22 STARTPUNT: GTS-1
#23 EINDPUNT: GTS-29
#51 OPDRACHTGEVER: ZLXXAXAMDBG
#52 BEHEERDER: ZLXXAXBMDBG
@ par1.dat
## TLU        oC <-->
## LUCHTDK    hPa <1023>
## WINDSHD    m/s <-->
## WINDRTG    gradn <-->
## BEWKGD     /8 <1>

~     X       Y    DATUM   TIJD SENSHTE   Echms       T     pH   O2     %O2   GELBH   GEL20  SALNTT     CL- CHLFRFU TROEBHFNU
  47466  418850 20250506 83753    1.01   13.38   15.13   8.45 8.67     102   36.75    4091   29.35   16598    1.18    0.97
  47466  418850 20250506 83813    2.00    1.88   15.14   8.45 8.67     102   36.76    4092   29.35   16601    1.11    1.01
  47466  418850 20250506 83838    3.00   14.35   15.14   8.45 8.64     102   36.76    4091   29.35   16598    1.11    1.10
  47466  418850 20250506 83900    4.00   10.80   15.14   8.45 8.66     102   36.77    4092   29.35   16601    1.13    1.05
  47466  418850 20250506 83918    5.01   12.60   15.14   8.45 8.66     102   36.77    4092   29.36   16602    1.38    0.92
  47466  418850 20250506 83942    6.06    7.89   15.14   8.45 8.63     102   36.77    4092   29.36   16603    1.20    0.99
  47466  418850 20250506 84012    7.02    9.27   15.14   8.45 8.62     102   36.77    4092   29.36   16601    1.15    0.83
  47466  418850 20250506 84045    8.01    8.83   15.13   8.44 8.55     101   36.77    4093   29.36   16604    1.10    0.98
  47466  418850 20250506 84112    9.03    8.49   15.13   8.45 8.56     101   36.76    4092   29.36   16601    1.19    0.97
  47466  418850 20250506 84217    9.99    7.43   15.07   8.44 8.51     100   36.74    4095   29.38   16616    1.16    0.99
  47466  418850 20250506 84324   10.96    7.68   14.90   8.42 8.11      95   36.58    4094   29.37   16610    0.95    0.79
  47466  418850 20250506 84416   12.00    7.40   14.69   8.39 7.87      92   36.47    4102   29.44   16649    0.80    1.56
  47466  418850 20250506 84551   13.02    6.14   12.68   8.22 6.21      70   35.36    4167   29.96   16960    0.67    1.16
  47466  418850 20250506 84657   14.01    6.20   11.85   8.15 5.32      59   34.67    4168   29.97   16968    0.48    0.91
  47466  418850 20250506 84857   14.97    3.78   10.73   8.03 3.91      42   33.71    4165   29.95   16960    0.42    1.13
  47466  418850 20250506 84933   16.02    1.28   10.22   7.94 2.98      32   33.21    4156   29.88   16919    0.36    1.20
