# VERTIKAAL 3 M.C.ECOS 8 VERTIKAAL
* 06-05-2025 09:11:25
#X: 48744 - Y: 418169
#00 DONARLOCATIE: VTS-03
#01 MEETPUNT: 1
#08 WAARNEMER(S): Hartman
@ par1.dat
## TLU        oC <-->
## LUCHTDK    hPa <1023>
## WINDSHD    m/s <-->
## WINDRTG    gradn <-->
## BEWKGD     /8 <1>

~     X       Y    DATUM   TIJD SENSHTE   Echms       T     pH   O2     %O2   GELBH   GEL20  SALNTT     CL- CHLFRFU TROEBHFNU
  48744  418169 20250506 91134    1.02   42.62   14.96   8.46 8.61     101   36.60    4090   29.34   16593    0.85    0.85
  48744  418169 20250506 91156    2.02   41.91   14.96   8.46 8.62     101   36.60    4090   29.34   16593    1.10    0.79
  48744  418169 20250506 91214    3.09   32.60   14.96   8.46 8.61     101   36.60    4090   29.34   16595    1.15    0.82
  48744  418169 20250506 91231    3.96    0.00   14.96   8.46 8.62     101   36.60    4090   29.34   16595    1.02    0.89
  48744  418169 20250506 91247    5.01   26.43   14.95   8.46 8.61     101   36.60    4090   29.34   16595    0.98    0.81
  48744  418169 20250506 91303    5.98   38.72   14.95   8.46 8.60     101   36.60    4090   29.34   16595    0.92    0.87
  48744  418169 20250506 91319    7.06   35.74   14.94   8.46 8.60     101   36.59    4091   29.35   16596    1.03    0.97
  48744  418169 20250506 91335    8.06   36.73   14.95   8.46 8.59     101   36.60    4090   29.34   16595    1.10    0.80
  48744  418169 20250506 91349    9.04   35.79   14.92   8.45 8.59     101   36.58    4091   29.35   16598    1.01    0.93
  48744  418169 20250506 91408   10.07    0.00   14.89   8.45 8.58     101   36.55    4091   29.35   16600    0.96    0.92
  48744  418169 20250506 91440   11.00   33.97   14.72   8.45 8.46      99   36.42    4093   29.36   16607    0.87    0.95
  48744  418169 20250506 91542   11.98   33.09   14.28   8.40 7.94      92   36.23    4113   29.53   16704    1.13    1.46
  48744  418169 20250506 91644   12.99   31.88   13.07   8.29 7.01      80   35.72    4171   29.99   16976    0.68    0.87
  48744  418169 20250506 91829   13.98   30.88   10.47   8.07 4.52      49   33.49    4164   29.94   16956    0.39    0.76
  48744  418169 20250506 91948   15.04    0.00    9.77   7.95 3.28      35   32.86    4158   29.90   16930    0.46    0.87
  48744  418169 20250506 92101   15.98   28.69    8.52   7.99 4.48      46   31.74    4144   29.79   16875    0.27    1.34
  48744  418169 20250506 92116   16.97    0.00    8.49   7.98 4.43      46   31.74    4147   29.82   16886    0.35    0.61
  48744  418169 20250506 92134   18.00    0.00    8.18   7.97 4.43      45   31.53    4154   29.87   16919    0.86    0.87
  48744  418169 20250506 92208   19.02   25.69    7.95   7.95 4.29      44   31.29    4145   29.80   16882    0.34    0.83
  48744  418169 20250506 92232   19.98   24.72    7.84   7.94 4.23      43   31.18    4144   29.79   16875    0.61    0.81
  48744  418169 20250506 92259   21.04   23.63    7.73   7.93 4.16      42   31.09    4143   29.79   16873    0.61    0.82
  48744  418169 20250506 92407   21.98   22.77    7.47   7.88 3.70      37   30.88    4142   29.78   16869    1.45    1.04
  48744  418169 20250506 92454   23.04   21.77    7.38   7.87 3.62      36   30.78    4140   29.76   16858    1.04    0.89
  48744  418169 20250506 92523   24.01   20.88    7.38   7.87 3.62      36   30.79    4140   29.77   16861    0.52    1.01
  48744  418169 20250506 92636   25.00   19.83    7.39   7.83 3.17      32   30.80    4141   29.77   16864    0.90    1.02
  48744  418169 20250506 92712   25.98   18.75    7.35   7.82 3.03      30   30.78    4141   29.78   16867    1.15    1.20
  48744  418169 20250506 92748   27.04   17.66    7.38   7.81 2.87      29   30.80    4142   29.78   16868    0.77    1.15
  48744  418169 20250506 92825   27.97   16.56    7.40   7.80 2.71      27   30.82    4142   29.78   16872    1.18    1.05
  48744  418169 20250506 92915   29.03   15.41    7.39   7.79 2.53      25   30.82    4143   29.79   16872    1.11    1.27
  48744  418169 20250506 92958   30.03   14.54    7.35   7.77 2.30      23   30.78    4142   29.78   16871    2.40    1.15
  48744  418169 20250506 93038   31.02   13.65    7.36   7.75 2.10      21   30.80    4144   29.79   16877    1.27    1.21
  48744  418169 20250506 93103   32.04   12.59    7.36   7.75 2.04      20   30.80    4143   29.79   16876    0.91    1.20
  48744  418169 20250506 93143   33.07   11.50    7.34   7.74 1.92      19   30.78    4143   29.79   16877    2.14    1.10
  48744  418169 20250506 93216   33.99   10.40    7.34   7.73 1.78      18   30.78    4144   29.79   16877    2.09    1.23
  48744  418169 20250506 93311   34.97    9.74    7.30   7.71 1.55      15   30.75    4144   29.80   16879    0.85    1.10
