# VERTIKAAL 14 M.C.ECOS 8 VERTIKAAL
* 02-05-2025 13:08:32
#X: 52940 - Y: 420290
#00 DONARLOCATIE: GTS-07
#01 MEETPUNT: 1
#08 WAARNEMER(S): Hartman
@ par1.dat
## TLU        oC <-->
## LUCHTDK    hPa <1014>
## WINDSHD    m/s <-->
## WINDRTG    gradn <-->
## BEWKGD     /8 <2>

~     X       Y    DATUM   TIJD SENSHTE   Echms       T     pH   O2     %O2   GELBH   GEL20  SALNTT     CL- CHLFRFU TROEBFN
  52940  420290 20250502 130841    0.99   10.08   17.77   8.40 9.96     125   38.60    4050   29.01   16392    0.70    0.61
  52940  420290 20250502 130905    2.01    9.01   17.55   8.40 10.0     125   38.41    4050   29.01   16395    0.79    0.48
  52940  420290 20250502 130939    2.98    8.01   15.91   8.42 10.5     127   36.95    4041   28.95   16363    1.07    0.61
  52940  420290 20250502 131023    4.00    7.08   15.34   8.39 10.1     121   36.51    4045   28.98   16384    1.01    0.59
  52940  420290 20250502 131101    4.96    6.14   15.19   8.38 9.91     118   36.39    4045   28.98   16384    1.11    0.60
  52940  420290 20250502 131141    6.04    5.14   15.03   8.37 9.70     115   36.24    4044   28.97   16381    1.04    0.56
  52940  420290 20250502 131212    6.98    4.21   14.80   8.36 9.53     113   36.44    4088   29.33   16585    1.14    0.65
  52940  420290 20250502 131306    8.01    3.15   14.35   8.31 8.73     102   36.43    4128   29.65   16774    0.71    0.55
  52940  420290 20250502 131406    9.02    2.04   14.42   8.35 9.45     111   36.69    4152   29.83   16880    2.21    0.75
  52940  420290 20250502 131542   10.04    0.81   13.97   8.27 7.82      91   36.29    4150   29.82   16874    1.28    0.63
