# VERTIKAAL 12 M.C.ECOS 8 VERTIKAAL
* 02-05-2025 12:27:08
#X: 55190 - Y: 421380
#00 DONARLOCATIE: GTS-09
#01 MEETPUNT: 1
#08 WAARNEMER(S): Hartman
@ par1.dat
## TLU        oC <-->
## LUCHTDK    hPa <1014>
## WINDSHD    m/s <-->
## WINDRTG    gradn <-->
## BEWKGD     /8 <5>

~     X       Y    DATUM   TIJD SENSHTE   Echms       T     pH   O2     %O2   GELBH   GEL20  SALNTT     CL- CHLFRFU TROEBFN
  55190  421380 20250502 122732    0.99   13.33   17.95   8.40 9.94     125   38.75    4049   29.01   16390    1.16    0.45
  55190  421380 20250502 122822    1.99   16.41   17.09   8.42 10.2     127   38.00    4047   28.99   16383    1.49    0.62
  55190  421380 20250502 122853    2.99   16.11   16.39   8.41 10.2     124   37.34    4040   28.93   16354    1.44    0.73
  55190  421380 20250502 122919    4.02   12.70   15.65   8.41 10.3     125   36.76    4043   28.97   16374    1.42    0.56
  55190  421380 20250502 123009    4.98   14.63   15.09   8.40 10.2     121   36.35    4050   29.02   16410    1.26    0.57
  55190  421380 20250502 123131    6.02   13.58   14.63   8.36 9.35     110   36.00    4053   29.05   16425    1.49    0.79
  55190  421380 20250502 123243    7.02   12.50   13.73   8.31 8.74     101   35.31    4061   29.11   16465    2.05    0.60
  55190  421380 20250502 123339    7.97   11.50   13.55   8.31 8.62      99   35.57    4107   29.48   16680    1.46    0.64
  55190  421380 20250502 123412    9.01   10.46   13.37   8.30 8.65      99   35.72    4142   29.76   16840    1.21    0.63
  55190  421380 20250502 123451   10.03    9.35   13.32   8.30 8.60      99   35.77    4153   29.85   16891    0.85    0.73
  55190  421380 20250502 123535   11.01    8.50   12.90   8.27 8.21      94   35.46    4158   29.89   16918    0.90    0.63
  55190  421380 20250502 123625   12.04    7.96   12.67   8.26 7.88      89   35.24    4155   29.87   16904    0.78    0.74
  55190  421380 20250502 123714   13.03    7.29   12.44   8.23 7.55      85   35.06    4156   29.87   16909    0.99    0.68
  55190  421380 20250502 123743   13.97    6.35   12.34   8.23 7.52      85   34.97    4155   29.87   16907    0.99    0.73
  55190  421380 20250502 123857   14.96    5.09   11.69   8.19 6.87      76   34.37    4148   29.82   16878    0.92    0.84
  55190  421380 20250502 123933   16.03    3.86   11.39   8.18 6.74      74   34.09    4145   29.79   16865    1.23    0.69
  55190  421380 20250502 124054   16.97    2.33   10.94   8.12 5.74      63   33.68    4140   29.75   16843    0.37    1.40
  55190  421380 20250502 124238   17.98    1.53   10.83   8.08 5.18      56   33.57    4138   29.73   16834    0.55    1.30
  55190  421380 20250502 124311   19.01    0.75   10.80   8.08 5.09      55   33.54    4137   29.73   16831    0.77    1.28
