# VERTIKAAL 1 M.C.ECOS 8 VERTIKAAL
* 02-05-2025 08:57:13
#X: 67340 - Y: 411360
#06 PROJECTCODE: GTS
#00 DONARLOCATIE: GTS-18
#01 MEETPUNT: 1
#08 WAARNEMER(S): Hartman
#21 MEETGEBIED: GREVELINGEN
#22 STARTPUNT: GTS-20
#23 EINDPUNT: GTS-1
#51 OPDRACHTGEVER: ZLXXAXAMDBG
#52 BEHEERDER: ZLXXAXBMDBG
@ par1.dat
## TLU        oC <-->
## LUCHTDK    hPa <1014>
## WINDSHD    m/s <-->
## WINDRTG    gradn <-->
## BEWKGD     /8 <5>

~     X       Y    DATUM   TIJD SENSHTE   Echms       T     pH   O2     %O2   GELBH   GEL20  SALNTT     CL- CHLFRFU TROEBFN
  67340  411360 20250502 85723    1.01   11.77   19.07   8.44 10.9     140   39.42    4022   28.78   16256    1.11    0.54
  67340  411360 20250502 85744    2.03    0.89   19.01   8.44 10.9     140   39.41    4025   28.81   16270    1.13    0.59
  67340  411360 20250502 85831    3.00    9.76   17.70   8.40 10.7     134   38.26    4020   28.79   16258    0.92    0.56
  67340  411360 20250502 85854    3.99    8.75   16.96   8.34 10.8     134   38.01    4060   29.10   16445    1.17    0.49
  67340  411360 20250502 85938    4.99    7.77   15.96   8.30 10.5     128   37.22    4066   29.15   16477    1.48    0.57
  67340  411360 20250502 90112    5.99    6.71   14.51   8.24 9.64     113   36.20    4087   29.32   16583    1.44    0.56
  67340  411360 20250502 90211    7.04    5.69   14.25   8.24 9.44     110   35.97    4087   29.32   16582    1.00    0.58
  67340  411360 20250502 90403    8.01    4.71   13.34   8.18 8.23      94   35.15    4078   29.25   16547    1.94    0.54
  67340  411360 20250502 90527    8.98    3.66   12.77   8.14 7.62      86   34.69    4080   29.26   16556    1.32    0.72
  67340  411360 20250502 90710   10.00    2.87   12.20   8.09 6.78      76   34.21    4078   29.26   16554    1.03    0.72
  67340  411360 20250502 90811   11.00    1.97   11.76   8.05 6.17      68   33.86    4080   29.27   16563    1.06    0.83
  67340  411360 20250502 90909   11.98    1.05   11.36   8.03 5.80      64   33.50    4076   29.24   16549    0.61    0.74
