# VERTIKAAL 11 M.C.ECOS 8 VERTIKAAL
* 06-05-2025 11:54:04
#X: 56800 - Y: 421900
#00 DONARLOCATIE: GTS-26
#01 MEETPUNT: 1
#08 WAARNEMER(S): Hartman
@ par1.dat
## TLU        oC <-->
## LUCHTDK    hPa <1023>
## WINDSHD    m/s <-->
## WINDRTG    gradn <-->
## BEWKGD     /8 <1>

~     X       Y    DATUM   TIJD SENSHTE   Echms       T     pH   O2     %O2   GELBH   GEL20  SALNTT     CL- CHLFRFU TROEBHFNU
  56800  421900 20250506 115413    1.02   11.05   13.77   8.38 8.09      93   35.43    4070   29.18   16507    0.43    0.75
  56800  421900 20250506 115428    2.01   12.76   13.76   8.38 8.12      93   35.42    4070   29.19   16508    0.54    0.74
  56800  421900 20250506 115445    3.03   11.65   13.73   8.37 8.09      93   35.40    4070   29.19   16508    0.69    0.84
  56800  421900 20250506 115459    4.04   10.65   13.74   8.37 8.09      93   35.41    4070   29.19   16508    0.76    0.78
  56800  421900 20250506 115513    5.01    9.70   13.73   8.37 8.06      92   35.40    4071   29.19   16513    0.62    0.74
  56800  421900 20250506 115604    5.97    9.21   13.73   8.38 7.96      91   35.39    4070   29.19   16507    0.88    1.02
  56800  421900 20250506 115656    6.98    8.65   13.62   8.37 7.64      87   35.39    4079   29.26   16549    0.54    1.07
  56800  421900 20250506 115726    8.04    7.75   13.54   8.36 7.53      86   35.32    4080   29.26   16553    0.48    0.83
  56800  421900 20250506 115747    9.00    6.93   13.16   8.36 7.57      86   34.96    4073   29.21   16525    0.55    0.82
  56800  421900 20250506 115804   10.01    5.99   13.06   8.36 7.60      86   34.86    4072   29.21   16522    0.57    0.84
  56800  421900 20250506 115818   11.05    5.11   13.01   8.35 7.62      86   34.82    4072   29.21   16522    0.55    0.72
  56800  421900 20250506 115833   12.03    4.21   12.98   8.36 7.65      86   34.79    4072   29.20   16521    0.41    0.79
  56800  421900 20250506 115855   13.01    3.35   12.91   8.36 7.70      87   34.74    4072   29.20   16521    0.45    0.82
  56800  421900 20250506 115919   14.06    2.49   12.84   8.37 7.78      87   34.68    4072   29.21   16523    0.39    0.82
  56800  421900 20250506 115947   14.99    1.80   12.79   8.38 7.89      89   34.64    4072   29.21   16522    0.43    0.96
  56800  421900 20250506 120025   16.02    0.99   12.56   8.40 8.13      91   34.46    4074   29.22   16530    0.49    0.91
