# VERTIKAAL 17 M.S. IJSSELMEER
* 15-05-2025 12:03:16
#X: 49730 - Y: 418270
#00 DONARLOCATIE: GTS-04
#01 MEETPUNT: 1
#08 WAARNEMER(S): bernaards
@ par1.dat

~     X       Y    DATUM   TIJD       T   GELBH     %O2      pH SENSHTE CHLFRFU TROEBHFNU  CHLPHL  SALNTT     CL-   DICHT      O2   GELDHD
  49730  418270 20250515 120404   16.36   37.82     105    8.36    1.08    0.46    0.61    1.17   29.38   16609   21.39    8.71    4095
  49730  418270 20250515 120429   16.35   37.82     105    8.36    2.03    0.61    0.57    1.83   29.37   16608   21.39    8.69    4095
  49730  418270 20250515 120450   16.35   37.82     105    8.37    3.00    0.69    0.60    2.21   29.38   16611   21.39    8.72    4095
  49730  418270 20250515 120514   16.36   37.83     105    8.37    4.13    0.57    0.59    1.69   29.38   16611   21.39    8.72    4096
  49730  418270 20250515 120535   16.32   37.80     105    8.37    5.14    0.64    0.54    1.95   29.38   16613   21.40    8.70    4096
  49730  418270 20250515 120601   16.32   37.80     105    8.37    6.05    0.66    0.59    2.04   29.38   16614   21.40    8.71    4096
  49730  418270 20250515 120619   16.32   37.80     105    8.37    7.03    0.41    0.61    0.96   29.39   16614   21.41    8.74    4096
  49730  418270 20250515 120639   16.31   37.79     106    8.37    7.99    0.46    0.53    1.17   29.39   16616   21.41    8.79    4096
  49730  418270 20250515 120729   16.26   37.76     103    8.35    8.90    0.32    0.68    0.55   29.40   16622   21.43    8.53    4098
  49730  418270 20250515 120745   16.24   37.76     102    8.35   10.02    0.40    0.66    0.90   29.41   16627   21.44    8.51    4099
  49730  418270 20250515 120811   16.02   37.73     102    8.33   10.93    0.34    0.97    0.67   29.55   16711   21.60    8.54    4117
  49730  418270 20250515 120934   14.69   36.79      84    8.20   11.93    0.42    1.01    1.02   29.72   16811   22.01    7.19    4137
  49730  418270 20250515 121024   14.32   36.48      81    8.18   12.93    0.58    0.78    1.73   29.72   16816   22.09    6.95    4138
  49730  418270 20250515 121112   13.74   36.01      76    8.16   13.92    0.36    0.65    0.72   29.74   16827   22.22    6.62    4139
  49730  418270 20250515 121224   12.19   34.69      56    8.05   15.01    0.22    0.50    0.14   29.72   16817   22.50    5.01    4136
  49730  418270 20250515 121255   11.13   33.86      49    8.01   16.15    0.13    0.48   -0.27   29.77   16857   22.73    4.53    4143
