# VERTIKAAL 5 M.S. IJSSELMEER
* 15-05-2025 08:04:38
#X: 65250 - Y: 412100  
#00 DONARLOCATIE: GTS-16
#01 MEETPUNT: 1
#08 WAARNEMER(S): bernaards
@ par1.dat

~     X       Y    DATUM   TIJD       T   GELBH     %O2      pH SENSHTE CHLFRFU TROEBHFNU  CHLPHL  SALNTT     CL-   DICHT      O2   GELDHD
  65250  412100 20250515 80451   15.65   37.16     100    8.32    1.00    0.81    0.78    2.71   29.32   16580   21.50    8.39    4088
  65250  412100 20250515 80528   15.65   37.16     100    8.32    1.99    0.76    0.66    2.47   29.32   16580   21.50    8.39    4088
  65250  412100 20250515 80553   15.65   37.17     100    8.32    2.92    0.77    0.74    2.56   29.33   16582   21.51    8.39    4088
  65250  412100 20250515 80618   15.63   37.15     100    8.32    4.03    0.76    0.70    2.51   29.33   16584   21.51    8.39    4089
  65250  412100 20250515 80643   15.55   37.11      99    8.32    4.93    0.82    0.73    2.79   29.35   16598   21.55    8.39    4092
  65250  412100 20250515 80708   15.52   37.09      99    8.31    5.86    0.84    0.74    2.83   29.36   16601   21.56    8.39    4092
  65250  412100 20250515 80849   15.52   37.09      99    8.31    6.96    0.73    0.77    2.35   29.36   16603   21.56    8.39    4093
  65250  412100 20250515 80935   15.52   37.10      98    8.31    7.92    0.99    0.71    3.49   29.37   16605   21.57    8.23    4093
  65250  412100 20250515 81028   15.38   37.32      95    8.28    8.88    1.16    0.81    4.24   29.66   16776   21.82    8.05    4130
  65250  412100 20250515 81101   15.40   37.41      96    8.27    9.88    1.62    0.94    6.25   29.73   16819   21.87    8.07    4139
  65250  412100 20250515 81130   15.38   37.39      95    8.27   10.93    1.60    0.92    6.16   29.73   16818   21.88    8.04    4139
  65250  412100 20250515 81240   15.31   37.35      91    8.26   11.84    1.53    1.08    5.85   29.75   16827   21.90    7.72    4141
