# VERTIKAAL 7 M.S. IJSSELMEER
* 15-05-2025 08:46:06
#X: 61220 - Y: 413050
#00 DONARLOCATIE: GTS-14
#01 MEETPUNT: 1
#08 WAARNEMER(S): bernaards
@ par1.dat

~     X       Y    DATUM   TIJD       T   GELBH     %O2      pH SENSHTE CHLFRFU TROEBHFNU  CHLPHL  SALNTT     CL-   DICHT      O2   GELDHD
  61220  413050 20250515 84620   16.04   37.49      95    8.33    1.07    0.59    0.83    1.77   29.32   16579   21.42    7.92    4088
  61220  413050 20250515 84643   16.03   37.48      95    8.33    2.04    0.61    0.88    1.84   29.32   16578   21.42    7.93    4088
  61220  413050 20250515 84714   16.04   37.49      95    8.33    3.05    0.61    0.87    1.85   29.32   16579   21.42    7.93    4088
  61220  413050 20250515 84733   16.03   37.49      95    8.33    4.08    0.50    0.81    1.34   29.33   16581   21.42    7.94    4089
  61220  413050 20250515 84754   16.02   37.47      95    8.33    5.02    0.61    0.96    1.84   29.32   16576   21.42    7.96    4087
  61220  413050 20250515 84818   16.00   37.45      95    8.33    5.88    0.60    0.86    1.78   29.32   16578   21.43    7.97    4088
  61220  413050 20250515 84836   15.99   37.44      95    8.33    6.99    0.63    0.94    1.95   29.32   16575   21.42    7.98    4087
  61220  413050 20250515 84931   15.99   37.45      95    8.33    8.03    0.63    0.82    1.92   29.32   16578   21.43    7.98    4088
  61220  413050 20250515 84954   15.99   37.46      95    8.33    8.94    0.68    0.80    2.12   29.33   16582   21.43    7.97    4089
  61220  413050 20250515 85133   14.91   36.72      80    8.22    9.88    0.78    0.75    2.57   29.49   16680   21.79    6.81    4109
