# VTK  3 Delta
* 03-06-2025 08:29:24
#X: 67306 - Y: 411285
#00 DONARLOCATIE: GTS-18
#08 WAARNEMER(S): Hartman
@ par1.dat

~     X       Y    DATUM   TIJD SENSHTE   Echms       T     pH   O2     %O2   GELBH  GELDHD  SALNTT     CL- CHLFRFU TROEBHFNU PHYCOUG
  67306  411285 20250603 82934    1.01   11.46   18.05   8.21 9.28     117   38.93    4060   29.09   16439    1.86      1.75    9.27
  67306  411285 20250603 82944    1.77   10.56   18.05   8.21 9.28     117   38.94    4060   29.10   16440    2.11      1.83    9.26
  67306  411285 20250603 82954    2.00   10.57   18.04   8.20 9.28     117   38.94    4062   29.10   16446    2.09      1.73    9.27
  67306  411285 20250603 83041    3.02    7.46   18.36   8.13 8.43     107   40.04    4148   29.79   16843    1.00      1.46    8.41
  67306  411285 20250603 83107    3.97    4.04   18.34   8.13 8.34     106   40.00    4144   29.77   16826    1.04      1.59    8.33
  67306  411285 20250603 83130    4.99    7.56   18.36   8.13 8.30     105   40.09    4153   29.83   16863    0.84      1.44    8.28
  67306  411285 20250603 83150    6.05    6.53   18.34   8.13 8.22     104   40.08    4153   29.83   16865    0.77      1.39    8.20
  67306  411285 20250603 83245    7.00    5.81   17.97   8.07 7.37      93   39.79    4156   29.86   16882    0.53      1.31    7.36
  67306  411285 20250603 83312    8.00    4.75   17.81   8.06 7.19      90   39.65    4157   29.86   16885    0.41      1.42    7.17
  67306  411285 20250603 83329    9.03    3.72   17.76   8.05 7.11      89   39.61    4157   29.86   16885    0.41      1.58    7.10
  67306  411285 20250603 83347    9.98    2.76   17.73   8.05 7.04      88   39.57    4155   29.85   16879    0.45      1.54    7.03
  67306  411285 20250603 83411   11.01    1.75   17.67   8.04 6.97      87   39.51    4155   29.85   16877    0.46      1.58    6.96
  67306  411285 20250603 83436   12.01    0.82   17.58   8.03 6.89      86   39.42    4153   29.84   16870    0.60      1.52    6.88
