X;Y;DATUM;TIJD;LUCHTDK;SENSHTE;T;pH;%O2;O2;CL-;PHYCOUGL;SALNTT;GELDHD;TURBID;CHLFRFU;GELBH;Echms
51.68340452;4.141288749;20250611;72458;1022.4;;;;;;;;;;;;;
51.68329833;4.14175;20250611;72508;;-102;16.73;8.16;95.49;7.88;16101.4;-0.36;28.5;3985.21;1.17;2.47;37.12;5.83
51.68348167;4.141218333;20250611;72556;;-210;16.8;8.17;96.83;7.98;16200.28;-0.28;28.67;4006.85;1.11;2.7;37.37;9.75
51.68349667;4.141165;20250611;72616;;-304;16.85;8.17;98.47;8.09;16366.19;-0.31;28.96;4043.05;1.35;3.16;37.76;4.37
51.68353333;4.14105;20250611;72648;;-393;16.86;8.17;98.97;8.13;16393.99;-0.37;29.01;4049.11;1.38;2.74;37.82;8.32
51.68355667;4.140978333;20250611;72707;;-496;16.88;8.14;98.16;8.05;16444.57;-0.39;29.1;4060.13;1.15;3.81;37.94;7.66
51.68358;4.140898333;20250611;72734;;-599;16.89;8.14;97.15;7.97;16456.88;-0.18;29.12;4062.82;1.22;4.67;37.97;6.56
51.68358333;4.140886667;20250611;72752;;-697;16.86;8.13;96.33;7.9;16464.53;-0.49;29.13;4064.45;1.12;3.22;37.97;5.53
51.68358833;4.140883333;20250611;72813;;-808;16.91;8.13;95.88;7.86;16478.55;-0.43;29.16;4067.56;2.1;2.33;38.04;0.92
51.68358667;4.140891667;20250611;72833;;-904;16.99;8.12;96.16;7.87;16520.46;-0.52;29.23;4076.75;0.97;1.89;38.19;3.48
51.68358;4.140903333;20250611;72851;;-996;16.98;8.12;95.59;7.82;16538.44;-0.54;29.26;4080.66;0.87;1.59;38.22;2.44
51.68358333;4.140916667;20250611;72913;;-1100;17;8.12;95;7.77;16553.17;-0.48;29.29;4083.87;0.79;1.49;38.26;1.38
51.68358167;4.140918333;20250611;72934;;-1201;17.02;8.12;94.67;7.73;16568.63;-0.44;29.31;4087.26;0.84;0.96;38.32;0.29
