X;Y;DATUM;TIJD;SENSHTE;T ;pH;%O2;O2;CL-;PHYCOUGL;SALNTT;GELDHD;TURBID;CHLFRFU;GELBH;Echms
51.76288833;3.869731667;20250612;93916;-105;17.34;8.14;101.36;8.17;16818.6;-0.47;29.75;4141.83;0.97;1.51;39.1;0.41
51.76289667;3.869373333;20250612;93956;-206;17.32;8.14;101.37;8.17;16809.23;-0.42;29.73;4139.78;0.83;1.76;39.07;15.33
51.7629;3.86926;20250612;94015;-300;17.33;8.14;101.29;8.17;16813.94;-0.42;29.74;4140.81;0.89;1.96;39.08;13.73
51.762925;3.869233333;20250612;94038;-397;17.3;8.14;100.99;8.15;16825.93;-0.57;29.76;4143.37;0.82;1.68;39.08;0
51.76295;3.869201667;20250612;94056;-505;17.31;8.14;100.98;8.14;16828.44;-0.53;29.76;4143.92;0.73;1.48;39.09;0
51.762985;3.86914;20250612;94117;-600;17.26;8.14;99.89;8.06;16830.7;-0.41;29.77;4144.36;0.85;1.67;39.06;5.07
51.76301167;3.869061667;20250612;94140;-698;17.27;8.14;99.56;8.04;16832.73;-0.54;29.77;4144.8;0.8;1.33;39.07;9.95
51.763025;3.869025;20250612;94159;-802;17.25;8.13;99.12;8;16836.34;-0.59;29.78;4145.57;0.94;1.29;39.06;8.94
51.763025;3.869026667;20250612;94216;-905;17.26;8.13;98.75;7.97;16834.07;-0.57;29.77;4145.08;0.81;1.49;39.06;7.97
51.76301667;3.869048333;20250612;94233;-994;17.24;8.13;98.24;7.93;16837.32;-0.65;29.78;4145.77;0.89;1.28;39.06;0
51.763;3.869098333;20250612;94256;-1089;17.23;8.13;97.59;7.88;16839.59;-0.5;29.78;4146.25;0.91;1.04;39.05;6.07
51.76297333;3.869178333;20250612;94315;-1201;17.22;8.12;96.4;7.79;16841.12;-0.58;29.78;4146.56;0.98;1.27;39.04;4.87
51.76295167;3.86922;20250612;94334;-1292;16.96;8.09;93.72;7.61;16837.36;-0.53;29.78;4145.44;0.78;0.71;38.81;4.03
51.76292167;3.869248333;20250612;94354;-1396;16.79;8.07;89.43;7.29;16831.46;-0.64;29.77;4143.97;0.92;1.08;38.65;2.86
51.76288833;3.869235;20250612;94415;-1503;16.78;8.07;87.94;7.17;16828.54;-0.58;29.76;4143.32;0.75;0.91;38.63;1.54
51.76290667;3.869195;20250612;94439;-1589;16.77;8.07;87.04;7.09;16825.98;-0.52;29.76;4142.76;1.3;0.58;38.62;0.79
