X;Y;DATUM;TIJD;SENSHTE;T ;pH;%O2;O2;CL-;PHYCOUGL;SALNTT;GELDHD;TROEBHFNU;CHLFRFU;GELBH;Echms
51.77480306;3.886042192;20250627;101832;0.99;20.23;8.02;90.75;6.92;17165.83;-1.01;30.37;4220.31;2.23;1.53;42.41;-999
51.77480306;3.886042192;20250627;101850;2.01;20.23;8.02;90.62;6.91;17166.23;-0.95;30.37;4220.4;2.61;1.52;42.41;-999
51.77480306;3.886042192;20250627;101905;2.97;20.23;8.02;90.46;6.9;17165.72;-0.94;30.37;4220.29;2.35;1.59;42.41;-999
51.77480306;3.886042192;20250627;101921;4.01;20.22;8.02;90.33;6.89;17167.32;-1.04;30.37;4220.62;2.48;1.45;42.41;-999
51.77480306;3.886042192;20250627;101936;5.01;20.23;8.02;90.12;6.88;17167.44;-0.91;30.37;4220.65;2.47;1.5;42.41;-999
51.77480306;3.886042192;20250627;101957;6.05;20.13;8;87.89;6.72;17162.85;-1.13;30.36;4219.55;2.56;1.25;42.31;-999
51.77480306;3.886042192;20250627;102013;7.05;20.11;7.99;86.41;6.61;17164.85;-0.98;30.37;4219.96;2.3;1.29;42.3;-999
51.77480306;3.886042192;20250627;102031;7.99;20.1;7.99;85.86;6.57;17161.36;-1.07;30.36;4219.19;2.37;1.25;42.28;-999
51.77480306;3.886042192;20250627;102053;9.1;20.08;7.99;86.18;6.59;17159.95;-1.06;30.36;4218.86;2.41;1.34;42.26;-999
51.77480306;3.886042192;20250627;102109;10.08;20.08;7.99;86.37;6.61;17159.48;-0.99;30.36;4218.76;2.58;1.27;42.26;-999
51.77480306;3.886042192;20250627;102127;10.99;20.08;8;86.9;6.65;17161.5;-1.04;30.36;4219.19;2.88;1.58;42.26;-999
51.77480306;3.886042192;20250627;102143;12.08;20.09;8;87.65;6.7;17160.84;-0.89;30.36;4219.07;2.89;1.49;42.27;-999
51.77480306;3.886042192;20250627;102201;12.9;20.11;8.01;88.56;6.77;17161.2;-0.94;30.36;4219.17;2.53;1.66;42.29;-999
51.77480306;3.886042192;20250627;102233;14;20.1;8.01;89.03;6.81;17160.68;-0.89;30.36;4219.04;2.46;1.63;42.28;-999
51.77480306;3.886042192;20250627;102249;15.07;20.1;8.01;89.16;6.82;17160.35;-0.89;30.36;4218.97;2.83;1.77;42.28;-999
51.77480306;3.886042192;20250627;102306;16.26;19.94;7.97;85.7;6.57;17149.74;-0.95;30.34;4216.49;2.59;1.32;42.11;-999
51.77480306;3.886042192;20250627;102327;17.08;19.92;7.97;83.52;6.41;17144.6;-1.02;30.33;4215.36;2.86;0.83;42.08;-999
