#	VERTIKAAL	6	Roompot													
*	1-9-2025	09:59:50														
#X:	53561	-	Y:	423764												
#00	DONARLOCATIE:	GTS-24														
#08	WAARNEMER(S):	bernaards														
@	par1.dat															
																
~	X	Y	DATUM	TIJD	SENSHTE	Echms	T	pH	O2	%O2	GELBH	GELDHD	SALNTT	CL-	CHLFRFU	TROEBHFNU
	53559	423763	20250901	100026	1.06	10.53	19.44	7.93	7.33	97	42.77	4328	31.24	17673	0.82	0.93
	53559	423763	20250901	100040	2.02	10.19	19.46	7.93	7.31	97	42.79	4328	31.24	17673	0.79	0.92
	53559	423763	20250901	100054	3.05	9.70	19.47	7.94	7.32	97	42.79	4328	31.24	17669	0.79	0.91
	53559	423763	20250901	100111	3.97	9.34	19.46	7.93	7.29	96	42.79	4328	31.24	17673	0.77	0.92
	53559	423763	20250901	100127	4.97	8.77	19.46	7.94	7.34	97	42.79	4328	31.24	17673	0.78	0.89
	53559	423763	20250901	100152	6.00	8.22	19.44	7.92	7.18	95	42.77	4328	31.24	17673	0.63	0.94
	53559	423763	20250901	100210	6.99	7.72	19.44	7.92	7.15	94	42.77	4329	31.24	17673	0.61	0.87
	53559	423763	20250901	100225	8.02	7.26	19.43	7.91	7.13	94	42.77	4329	31.24	17677	0.46	0.94
	53559	423763	20250901	100244	9.04	7.01	19.45	7.93	7.19	95	42.78	4329	31.24	17673	0.64	0.90
	53559	423763	20250901	100311	10.09	6.59	19.42	7.91	7.02	93	42.76	4329	31.24	17677	0.52	0.97
	53559	423763	20250901	100332	11.01	6.02	19.39	7.90	6.96	92	42.73	4328	31.24	17675	0.57	0.88
	53559	423763	20250901	100345	12.07	5.26	19.36	7.89	6.93	91	42.69	4328	31.24	17670	0.63	0.88
	53559	423763	20250901	100400	13.04	4.63	19.34	7.89	6.90	91	42.68	4328	31.24	17674	0.52	0.97
	53559	423763	20250901	100423	14.01	4.24	19.33	7.88	6.81	90	42.67	4328	31.24	17673	0.56	1.00
	53559	423763	20250901	100526	15.00	3.94	19.17	7.82	5.98	79	42.54	4330	31.25	17682	0.18	0.95
	53559	423763	20250901	100556	15.98	3.19	19.17	7.82	5.96	78	42.53	4329	31.24	17677	0.21	0.80
	53559	423763	20250901	100614	17.01	2.21	19.20	7.83	6.08	80	42.56	4329	31.25	17678	0.32	0.96
	53559	423763	20250901	100632	17.98	1.15	19.19	7.83	6.06	80	42.56	4330	31.25	17683	0.24	1.00
