# VERTIKAAL 1 M.C.ECOS 8 VERTIKAAL
* 16-05-2024 08:39:45
#X: 46060 - Y: 371036
#06 PROJECTCODE: KTS
#00 DONARLOCATIE: KTS-02
#01 MEETPUNT: 1
#08 WAARNEMER(S): bernaards
#21 MEETGEBIED: KANAAL GENT-TERNEUZE
#22 STARTPUNT: VLissingen
#23 EINDPUNT: Hansweert
#51 OPDRACHTGEVER: ZHXXREG_KWALTMNT
#52 BEHEERDER: ZLXXAXBMDBG
@ par1.dat
## TLU        oC <-->
## LUCHTDK    hPa <1004>
## WINDSHD    m/s <9999.9>
## WINDRTG    gradn <279>
## BEWKGD     /8 <8>

~     X       Y    DATUM   TIJD SENSHTE   Echms       T     pH   O2     %O2   GELBH   GEL20  SALNTT     CL- CHLFRFU TROEBFN
  46060  371036 20240516 83956    0.92    0.93   17.24   7.93 9.24      99    5.51     585    3.55    1968    2.11    2.52
  46106  370972 20240516 84021    2.05    2.06   17.25   7.92 9.28     100    5.49     583    3.54    1961    2.21    2.47
  46114  370964 20240516 84040    2.97    2.98   17.25   7.92 9.27      99    5.53     587    3.56    1976    2.29    2.51
  46119  370964 20240516 84057    4.00    4.00   17.25   7.92 9.28     100    5.64     598    3.64    2018    2.36    2.51
  46134  370941 20240516 84124    4.95    4.95   17.25   7.92 9.30     100    5.70     605    3.68    2041    2.38    2.34
  46140  370939 20240516 84146    6.03    6.05   17.27   7.92 9.30     100    5.78     613    3.73    2070    2.47    2.63
  46145  370936 20240516 84209    7.01    7.01   17.27   7.91 9.30     100    5.87     623    3.80    2108    2.41    2.45
  46154  370926 20240516 84234    8.00    8.01   17.27   7.91 9.30     100    5.95     632    3.85    2138    2.29    2.63
  46159  370926 20240516 84305    9.01    9.01   17.25   7.91 9.30     100    6.07     644    3.94    2184    2.23    2.35
  46165  370929 20240516 84332   10.04   10.04   17.21   7.91 9.28     100    6.46     687    4.21    2338    2.17    2.74
  46170  370922 20240516 84354   10.97   10.96   17.11   7.90 9.21      99    7.42     790    4.90    2719    1.96    2.91
