# VERTIKAAL 8 M.C.ECOS 8 VERTIKAAL
* 16-05-2024 10:23:37
#X: 44250 - Y: 359168
#00 DONARLOCATIE: KTS-08
#01 MEETPUNT: 1
#08 WAARNEMER(S): bernaards
@ par1.dat
## TLU        oC <-->
## LUCHTDK    hPa <1003>
## WINDSHD    m/s <9999.9>
## WINDRTG    gradn <279>
## BEWKGD     /8 <8>

~     X       Y    DATUM   TIJD SENSHTE   Echms       T     pH   O2     %O2   GELBH   GEL20  SALNTT     CL- CHLFRFU TROEBFN
  44250  359168 20240516 102346    1.03    1.02   16.74   7.86 8.20      86    3.60     386    2.28    1177    1.96    3.06
  44253  359162 20240516 102421    2.00    2.01   16.75   7.85 8.17      86    3.60     386    2.28    1177    1.78    3.30
  44248  359157 20240516 102450    2.96    2.96   16.75   7.85 8.14      86    3.61     388    2.29    1183    1.71    3.17
  44249  359154 20240516 102511    4.03    4.03   16.75   7.85 8.13      86    3.63     390    2.31    1190    1.76    3.07
  44250  359136 20240516 102548    4.99    5.00   16.75   7.85 8.11      86    3.66     393    2.33    1201    1.72    3.16
  44247  359127 20240516 102610    6.02    6.02   16.75   7.84 8.05      85    3.75     403    2.39    1236    1.86    3.29
  44244  359121 20240516 102624    7.01    7.01   16.75   7.84 7.98      84    3.76     403    2.39    1238    1.77    3.36
  44239  359112 20240516 102651    7.99    8.01   16.74   7.84 7.94      84    3.97     426    2.54    1319    1.76    3.35
  44232  359106 20240516 102722    9.06    9.05   16.72   7.83 7.92      84    4.21     452    2.70    1410    1.69    3.19
  44234  359105 20240516 102743   10.03   10.01   16.70   7.83 8.02      85    4.55     489    2.94    1627    1.48    3.83
  44228  359104 20240516 102757   10.98   10.97   16.70   7.83 7.90      84    4.71     506    3.04    1686    1.38    3.56
  44221  359102 20240516 102812   11.99   11.99   16.65   7.81 7.89      84    5.42     583    3.54    1965    1.26    4.54
