# VERTIKAAL 1 M.C.ECOS 8 VERTIKAAL
* 13-01-2025 10:20:27
#X: 45697 - Y: 371926
#06 PROJECTCODE: KTS
#00 DONARLOCATIE: KTS-01
#01 MEETPUNT: 1
#08 WAARNEMER(S): bernaards
#21 MEETGEBIED: KANAAL GENT-TERNEUZE
#22 STARTPUNT: terneuze
#23 EINDPUNT: gent
#51 OPDRACHTGEVER: ZHXXREG_KWALTMNT
#52 BEHEERDER: ZLXXAXBMDBG
@ par1.dat
## TLU        oC <-->
## LUCHTDK    hPa <1043>
## WINDSHD    m/s <-->
## WINDRTG    gradn <-->
## BEWKGD     /8 <0>

~     X       Y    DATUM   TIJD SENSHTE   Echms       T     pH   O2     %O2   GELBH   GEL20  SALNTT     CL- CHLFRFU TROEBFN
  45697  371926 20250113 102037    0.98    7.52    6.28   7.86 9.77      78    2.46     340    2.02    1016    0.40    3.38
  45697  371926 20250113 102119    2.07   17.13    6.21   7.86 9.79      78    2.45     339    2.01    1013    0.45    3.21
  45697  371926 20250113 102136    3.07   10.05    6.25   7.86 9.79      78    2.47     342    2.03    1022    0.39    3.59
  45697  371926 20250113 102150    4.15    0.79    6.23   7.86 9.79      78    2.47     343    2.04    1025    0.46    3.34
  45697  371926 20250113 102204    4.99   11.37    6.24   7.86 9.80      78    2.49     345    2.05    1032    0.47    3.38
  45697  371926 20250113 102223    6.06    7.25    6.34   7.86 9.78      78    2.53     350    2.08    1049    0.46    3.49
  45697  371926 20250113 102237    7.08   11.15    6.32   7.86 9.79      78    2.54     351    2.09    1054    0.40    3.49
  45697  371926 20250113 102252    8.01    7.95    6.29   7.87 9.80      78    2.56     354    2.11    1065    0.42    3.55
  45697  371926 20250113 102306    9.00    8.29    6.39   7.85 9.79      78    2.86     395    2.36    1208    0.43    3.33
  45697  371926 20250113 102335    9.98    8.21    6.33   7.85 9.80      78    3.09     427    2.57    1321    0.47    3.64
  45697  371926 20250113 102351   10.94    4.55    6.32   7.84 9.80      79    3.46     479    2.90    1505    0.45    4.13
  45697  371926 20250113 102405   11.97    5.75    6.36   7.85 9.80      79    3.69     510    3.10    1722    0.42    4.05
  45697  371926 20250113 102429   13.09    4.61    6.32   7.80 9.80      80    6.43     889    5.61    3121    0.32    3.99
  45697  371926 20250113 102447   14.02    3.87    6.22   7.82 9.78      81    9.47    1312    8.50    4752    0.37    5.54
  45697  371926 20250113 102516   15.04    2.90    6.07   7.85 9.92      84   13.44    1870   12.49    6989    0.36    9.47
  45697  371926 20250113 102559   15.97    1.84    6.03   7.90 10.1      87   14.56    2029   13.66    7641    0.44   10.59
  45697  371926 20250113 102613   16.98    0.75    6.02   7.91 10.2      87   14.96    2085   14.06    7872    0.36   11.39
