# VERTIKAAL 3 M.C.ECOS 8 VERTIKAAL
* 13-01-2025 10:57:48
#X: 46358 - Y: 370360
#00 DONARLOCATIE: KTS-03
#01 MEETPUNT: 1
#08 WAARNEMER(S): bernaards
@ par1.dat
## TLU        oC <-->
## LUCHTDK    hPa <1043>
## WINDSHD    m/s <-->
## WINDRTG    gradn <-->
## BEWKGD     /8 <0>

~     X       Y    DATUM   TIJD SENSHTE   Echms       T     pH   O2     %O2   GELBH   GEL20  SALNTT     CL- CHLFRFU TROEBFN
  46358  370360 20250113 105757    1.04   12.93    6.55   7.85 9.67      77    2.38     327    1.94     971    0.41    3.47
  46358  370360 20250113 105836    1.99   12.93    6.56   7.84 9.64      77    2.45     337    2.00    1005    0.40    3.92
  46358  370360 20250113 105902    2.94   11.53    6.53   7.85 9.65      77    2.49     343    2.03    1024    0.44    4.46
  46358  370360 20250113 105916    4.11   10.45    6.51   7.85 9.66      77    2.52     346    2.05    1036    0.41    4.78
  46358  370360 20250113 105929    5.03    9.56    6.52   7.85 9.66      77    2.56     352    2.09    1057    0.51    4.64
  46358  370360 20250113 105943    6.02    8.49    6.52   7.85 9.67      77    2.60     357    2.12    1075    0.43    3.98
  46358  370360 20250113 110001    7.04    7.45    6.51   7.86 9.68      78    2.64     364    2.17    1098    0.46    3.88
  46358  370360 20250113 110024    8.05    6.50    6.46   7.86 9.70      78    2.74     377    2.25    1144    0.38    3.21
  46358  370360 20250113 110042    9.00    5.56    6.45   7.86 9.73      78    2.82     389    2.33    1187    0.37    3.47
  46358  370360 20250113 110107   10.07    4.50    6.45   7.86 9.76      78    3.03     417    2.51    1287    0.38    3.16
  46358  370360 20250113 110126   11.06    3.53    6.42   7.84 9.75      79    3.78     521    3.17    1760    0.40    3.46
  46358  370360 20250113 110138   12.09    2.51    6.42   7.82 9.71      79    4.66     642    3.97    2202    0.35    9.35
  46358  370360 20250113 110155   13.11    1.59    6.40   7.82 9.48      77    6.16     850    5.35    2974    0.50   21.10
  46358  370360 20250113 110218   14.06    0.75    6.25   7.80 9.53      80   10.65    1475    9.67    5395    0.37    5.90
