# VERTIKAAL 1 M.C.ECOS 8 VERTIKAAL
* 14-03-2025 07:38:37
#X: 45697 - Y: 371926
#06 PROJECTCODE: KTS
#00 DONARLOCATIE: KTS-01
#01 MEETPUNT: 1
#08 WAARNEMER(S): Hartman
#21 MEETGEBIED: KANAAL GENT-TERNEUZE
#22 STARTPUNT: Terneuzen
#23 EINDPUNT: Gent
#51 OPDRACHTGEVER: ZHXXREG_KWALTMNT
#52 BEHEERDER: ZLXXAXBMDBG
@ par1.dat
## TLU        oC <-->
## LUCHTDK    hPa <1007>
## WINDSHD    m/s <-->
## WINDRTG    gradn <-->
## BEWKGD     /8 <0>

~     X       Y    DATUM   TIJD SENSHTE   Echms       T     pH   O2     %O2   GELBH   GEL20  SALNTT     CL- CHLFRFU TROEBFN
  45697  371926 20250314 73848    1.00    0.83    7.91   7.99 10.2      88    4.22     560    3.42    1899    0.47    2.89
  45697  371926 20250314 73907    2.02   15.42    7.88   7.99 10.2      89    4.31     572    3.50    1942    0.43    2.96
  45697  371926 20250314 73929    2.98   15.80    7.94   7.99 10.2      89    4.39     581    3.56    1975    0.50    3.07
  45697  371926 20250314 73948    4.00   14.87    8.02   7.98 10.2      89    4.44     587    3.59    1995    0.40    3.09
  45697  371926 20250314 74009    5.01   13.47    8.04   7.98 10.2      89    4.46     590    3.61    2006    0.48    3.20
  45697  371926 20250314 74030    6.02   12.52    8.05   7.98 10.1      89    4.61     609    3.74    2076    0.41    3.49
  45697  371926 20250314 74049    7.02   11.16    8.05   7.97 10.1      89    4.78     632    3.89    2160    0.45    3.94
  45697  371926 20250314 74112    8.01   10.64    8.06   7.96 10.1      89    5.33     704    4.37    2425    0.49    5.05
  45697  371926 20250314 74135    9.00    9.78    8.07   7.95 10.1      89    5.70     752    4.69    2604    0.48    5.69
  45697  371926 20250314 74156    9.98    8.46    8.04   7.94 10.1      89    6.06     801    5.01    2784    0.49    6.50
  45697  371926 20250314 74216   10.98    7.90    8.03   7.94 10.1      89    6.36     841    5.28    2935    0.54    7.19
  45697  371926 20250314 74233   11.94    7.35    7.98   7.93 10.1      90    7.10     940    5.95    3309    0.44    9.18
  45697  371926 20250314 74311   12.98    6.01    7.85   7.89 10.0      90    9.67    1285    8.31    4638    0.56   13.32
  45697  371926 20250314 74328   14.00    4.94    7.77   7.89 10.0      90   10.65    1418    9.26    5162    0.50   18.76
  45697  371926 20250314 74411   15.00    3.78    7.60   7.88 10.0      92   13.76    1839   12.26    6854    0.81   25.74
  45697  371926 20250314 74428   16.02    2.67    7.54   7.88 10.0      92   14.99    2007   13.48    7542    0.70   28.60
  45697  371926 20250314 74451   17.06    1.15    7.43   7.89 10.0      93   16.50    2215   15.00    8406    0.86   37.73
