# VERTIKAAL 10 M.C.ECOS 8 VERTIKAAL
* 14-03-2025 10:22:47
#X: 40663 - Y: 348850
#00 DONARLOCATIE: KTS-10
#01 MEETPUNT: 1
#08 WAARNEMER(S): Hartman
@ par1.dat
## TLU        oC <-->
## LUCHTDK    hPa <1009>
## WINDSHD    m/s <-->
## WINDRTG    gradn <-->
## BEWKGD     /8 <0>

~     X       Y    DATUM   TIJD SENSHTE   Echms       T     pH   O2     %O2   GELBH   GEL20  SALNTT     CL- CHLFRFU TROEBFN
  40663  348850 20250314 102255    1.01   13.35    7.98   7.90 8.57      73    1.31     174    0.99     451    0.45    5.17
  40663  348850 20250314 102323    2.00   12.39    7.96   7.90 8.57      73    1.31     174    0.99     451    0.44    5.16
  40663  348850 20250314 102344    3.02   11.39    7.95   7.90 8.57      73    1.31     174    0.99     452    0.38    5.27
  40663  348850 20250314 102406    3.98   10.39    7.92   7.90 8.57      73    1.32     175    1.00     456    0.40    4.82
  40663  348850 20250314 102431    5.04    9.30    7.90   7.90 8.58      73    1.33     176    1.01     460    0.40    5.03
  40663  348850 20250314 102449    6.06    8.44    7.90   7.90 8.57      73    1.33     177    1.01     462    0.48    5.43
  40663  348850 20250314 102510    7.01    7.33    7.91   7.89 8.56      73    1.34     178    1.02     465    0.51    5.47
  40663  348850 20250314 102525    7.99    6.28    7.92   7.89 8.56      73    1.37     182    1.04     480    0.44    5.48
  40663  348850 20250314 102541    9.00    5.43    7.96   7.89 8.55      73    1.41     187    1.07     498    0.44    5.60
  40663  348850 20250314 102556   10.01    4.56    7.98   7.88 8.53      73    1.45     192    1.10     514    0.43    5.81
  40663  348850 20250314 102638   11.01    3.56    8.00   7.85 8.40      72    1.69     224    1.29     625    0.41    5.28
  40663  348850 20250314 102652   12.05    2.24    7.98   7.85 8.38      72    1.87     248    1.44     711    0.42    4.94
  40663  348850 20250314 102706   13.01    1.36    7.98   7.85 8.39      72    1.89     250    1.46     720    0.39    5.01
  40663  348850 20250314 102733   13.98    0.75    7.98   7.86 8.44      72    1.92     255    1.49     736    0.33    5.23
