# VERTIKAAL 1 M.C.ECOS 8 VERTIKAAL
* 09-05-2025 07:29:55
#X: 45697 - Y: 371926
#06 PROJECTCODE: KTS
#00 DONARLOCATIE: KTS-01
#01 MEETPUNT: 1
#08 WAARNEMER(S): Bernaards
#21 MEETGEBIED: KANAAL GENT-TERNEUZE
#22 STARTPUNT: KTS-1
#23 EINDPUNT: KTS-11
#51 OPDRACHTGEVER: ZHXXREG_KWALTMNT
#52 BEHEERDER: ZLXXAXBMDBG
@ par1.dat
## TLU        oC <-->
## LUCHTDK    hPa <1020>
## WINDSHD    m/s <-->
## WINDRTG    gradn <-->
## BEWKGD     /8 <0>

~     X       Y    DATUM   TIJD SENSHTE   Echms       T     pH   O2     %O2   GELBH   GEL20  SALNTT     CL- CHLFRFU TROEBHFNU
  45697  371926 20250509 73005    1.06   17.67   15.65   8.12 9.14      95    9.39    1033    6.54    3638    0.83    2.76
  45697  371926 20250509 73020    1.99   17.64   15.65   8.12 9.14      95    9.51    1046    6.63    3686    0.77    2.60
  45697  371926 20250509 73035    3.00   15.82   15.65   8.12 9.14      95    9.51    1046    6.63    3685    0.73    2.73
  45697  371926 20250509 73055    4.04   14.45   15.71   8.12 9.14      95    9.56    1051    6.66    3703    0.68    2.72
  45697  371926 20250509 73111    4.98   13.55   15.79   8.12 9.14      95    9.67    1060    6.73    3739    0.73    2.91
  45697  371926 20250509 73124    6.01   12.41   15.77   8.12 9.14      95    9.67    1061    6.73    3743    0.76    2.99
  45697  371926 20250509 73138    6.98   11.42   15.82   8.12 9.14      96    9.84    1078    6.85    3809    0.76    3.07
  45697  371926 20250509 73152    7.99   10.66   15.89   8.12 9.12      96   10.06    1101    7.00    3895    0.84    3.90
  45697  371926 20250509 73206    9.06    9.82   15.89   8.11 9.12      96   10.29    1125    7.17    3989    0.82    4.64
  45697  371926 20250509 73219    9.98    8.94   15.92   8.10 9.08      96   10.91    1192    7.63    4247    0.77    7.55
  45697  371926 20250509 73238   10.97    7.81   15.88   8.10 9.07      96   11.42    1250    8.03    4471    0.85    8.49
  45697  371926 20250509 73253   12.03    6.95   15.66   8.08 8.97      95   13.96    1535   10.02    5591    0.72    6.40
  45697  371926 20250509 73315   13.04    5.89   15.36   8.08 8.83      95   17.72    1962   13.10    7317    0.67    4.52
  45697  371926 20250509 73333   13.94    4.32   14.99   8.10 8.68      95   22.12    2470   16.84    9434    0.50    4.63
  45697  371926 20250509 73348   15.04    2.97   14.84   8.12 8.67      95   23.99    2688   18.47   10364    0.53    5.15
  45697  371926 20250509 73402   16.01    1.74   14.77   8.12 8.66      96   24.85    2789   19.24   10798    0.56    6.58
  45697  371926 20250509 73418   16.95    0.90   14.76   8.13 8.69      96   24.95    2801   19.32   10847    0.60    5.60
