# VERTIKAAL 6 M.C.ECOS 8 VERTIKAAL
* 09-05-2025 08:21:30
#X: 46899 - Y: 365456
#00 DONARLOCATIE: KTS-06
#01 MEETPUNT: 1
#08 WAARNEMER(S): Bernaards
@ par1.dat
## TLU        oC <-->
## LUCHTDK    hPa <1020>
## WINDSHD    m/s <-->
## WINDRTG    gradn <-->
## BEWKGD     /8 <0>

~     X       Y    DATUM   TIJD SENSHTE   Echms       T     pH   O2     %O2   GELBH   GEL20  SALNTT     CL- CHLFRFU TROEBHFNU
  46899  365456 20250509 82146    0.96    0.00   15.32   8.11 9.10      93    7.60     842    5.25    2917    1.29    4.17
  46899  365456 20250509 82210    1.97   11.69   15.32   8.10 9.11      93    7.60     842    5.25    2918    1.22    4.18
  46899  365456 20250509 82232    3.07    9.94   15.35   8.10 9.05      93    7.62     844    5.27    2925    1.23    4.55
  46899  365456 20250509 82245    3.99    8.94   15.34   8.10 9.04      93    7.62     845    5.27    2927    1.22    4.31
  46899  365456 20250509 82305    4.99    5.41   15.32   8.10 9.06      93    7.60     843    5.26    2919    1.18    4.10
  46899  365456 20250509 82340    6.07    5.40   15.45   8.09 8.95      92    7.85     867    5.42    3011    1.15    4.17
  46899  365456 20250509 82400    7.01    4.09   15.51   8.09 8.92      92    8.13     897    5.62    3122    1.11    3.85
  46899  365456 20250509 82426    8.03    2.71   15.64   8.08 8.83      92    8.88     977    6.16    3423    0.97    3.46
  46899  365456 20250509 82456    8.99    2.75   15.76   8.07 8.70      91    9.74    1069    6.78    3772    0.87    3.19
  46899  365456 20250509 82522   10.05    1.65   15.83   8.07 8.74      91   10.15    1112    7.08    3936    0.87    3.05
  46899  365456 20250509 82549   10.94    0.75   15.81   8.06 8.67      91   11.36    1245    8.00    4451    0.74    2.96
