X;Y;DATUM;TIJD;SENSHTE;T ;pH;%O2;O2;CL-;PHYCOUGL;SALNTT;GELDHD;TROEBHFNU;CHLFRFU;GELBH;Echms
51.30332159;3.832226238;20250702;80950;1.05;23.26;8;107.44;8.78;4319.83;-0.63;7.78;1217.88;3.61;3.57;13.03;-999
51.30332159;3.832226238;20250702;81013;2.07;23.24;8;106.74;8.72;4328.74;-0.67;7.79;1220.17;3.62;3.2;13.05;-999
51.30332159;3.832226238;20250702;81035;2.95;23.23;7.99;105.95;8.66;4333.04;-0.73;7.8;1221.28;3.72;3.22;13.06;-999
51.30332159;3.832226238;20250702;81103;4.07;23.21;7.99;105.72;8.64;4353.79;-0.73;7.84;1226.64;3.72;3.49;13.11;-999
51.30332159;3.832226238;20250702;81135;5.01;23.2;7.99;105.57;8.63;4364.57;-0.82;7.86;1229.42;3.65;3.39;13.14;-999
51.30332159;3.832226238;20250702;81152;5.98;23.16;7.99;105.33;8.61;4413.25;-0.75;7.94;1241.98;3.68;3.75;13.26;-999
51.30332159;3.832226238;20250702;81220;6.9;23.04;7.99;104.5;8.55;4551.82;-0.69;8.19;1277.67;3.32;3.54;13.61;-999
51.30332159;3.832226238;20250702;81239;8.01;22.96;7.99;104.54;8.56;4697.45;-0.75;8.45;1315.09;3.53;3.31;13.98;-999
51.30332159;3.832226238;20250702;81254;8.96;22.89;7.99;104.61;8.56;4798.05;-0.71;8.63;1340.86;3.63;3.21;14.24;-999
51.30332159;3.832226238;20250702;81315;9.97;22.82;7.99;105.21;8.61;4972.5;-0.71;8.94;1385.44;3.69;3.39;14.69;-999
51.30332159;3.832226238;20250702;81334;11.03;22.73;7.98;106.06;8.66;5321.29;-0.83;9.57;1474.14;3.91;3.28;15.6;-999
51.30332159;3.832226238;20250702;81350;11.76;22.54;7.96;106.16;8.64;6011.51;-0.93;10.8;1647.81;4.12;2.68;17.37;-999
51.30332159;3.832226238;20250702;81402;12.06;22.56;7.96;105.21;8.56;5954.74;-0.8;10.7;1633.61;4.05;3.02;17.23;-999
51.30332159;3.832226238;20250702;81419;13.06;22.27;7.93;103.5;8.37;7105.71;-0.79;12.74;1918.59;4.56;2.37;20.12;-999
