# VERTIKAAL 1 M.C.ECOS 8 VERTIKAAL
* 10-04-2024 08:24:16
#X: 33899 - Y: 398931
#06 PROJECTCODE: VTS
#00 DONARLOCATIE: VTS-03
#01 MEETPUNT: 1
#08 WAARNEMER(S): bernaards
#21 MEETGEBIED: VEERSE MEER
#22 STARTPUNT: vts03
#23 EINDPUNT: vts17
#51 OPDRACHTGEVER: ZLXXAXAMDBG
#52 BEHEERDER: ZLXXRWMVSGN
@ par1.dat
## TLU        oC <-->
## LUCHTDK    hPa <1027>
## WINDSHD    m/s <9999.9>
## WINDRTG    gradn <279>
## BEWKGD     /8 <0>

~     X       Y    DATUM   TIJD SENSHTE   Echms       T     pH   O2     %O2   GELBH   GEL20  SALNTT     CL- CHLFRFU TROEBFN
  33899  398931 20240410 82426    1.07    1.09   12.14   8.26 9.71     103   27.07    3231   22.63   12740    0.93    0.47
  33908  398933 20240410 82550    2.02    2.01   12.13   8.27 9.70     103   27.06    3232   22.63   12740    0.99    0.44
  33911  398931 20240410 82618    3.00    3.01   12.13   8.27 9.70     103   27.09    3235   22.66   12756    1.00    0.47
  33912  398933 20240410 82639    4.04    4.05   12.14   8.27 9.70     103   27.13    3240   22.69   12776    0.88    0.41
  33916  398926 20240410 82712    5.01    5.02   11.82   8.23 9.58     101   28.12    3384   23.81   13416    0.70    0.48
  33919  398920 20240410 82748    6.04    6.06   11.49   8.21 9.53     101   28.38    3442   24.26   13678    0.60    0.40
  33903  398925 20240410 84401    6.99    7.00   10.96   8.22 9.25      97   28.68    3523   24.89   14039    0.44    0.46  
  33921  398905 20240410 82922    8.03    8.04   10.56   8.16 9.15      95   28.75    3566   25.23   14236    0.33    0.52
  33919  398896 20240410 83012    9.00    9.02    9.80   8.09 8.82      90   28.19    3564   25.22   14231    0.31    0.46
  33924  398893 20240410 83115   10.00   10.00    9.48   8.06 8.61      87   28.00    3568   25.26   14252    0.23    0.38
  33909  398923 20240410 84254   10.95   10.96    9.47   8.08 8.48      86   28.09    3581   25.35   14308    0.20    0.39  
  33935  398884 20240410 83302   12.02   12.03    9.50   8.07 8.50      86   28.11    3581   25.35   14308    0.19    0.33
  33931  398881 20240410 83348   13.02   13.03    9.56   8.08 8.50      87   28.21    3588   25.41   14340    0.22    0.33
  33941  398880 20240410 83501   14.03   14.05    9.69   8.11 8.56      87   28.41    3602   25.51   14401    0.21    0.41
  33952  398873 20240410 83630   15.03   15.05    9.71   8.11 8.61      88   28.45    3605   25.54   14414    0.21    0.39
  33952  398866 20240410 83700   16.04   16.07    9.73   8.12 8.62      88   28.49    3607   25.56   14427    0.17    0.41
  33947  398866 20240410 83733   17.04   17.03    9.75   8.12 8.63      88   28.51    3610   25.58   14436    0.19    0.39
  33937  398864 20240410 83803   17.97   17.98    9.76   8.12 8.65      89   28.53    3611   25.58   14441    0.22    0.40
  33928  398863 20240410 83841   18.98   19.00    9.78   8.13 8.66      89   28.57    3614   25.61   14455    0.17    0.48
  33919  398870 20240410 83907   20.00   20.14    9.79   8.12 8.64      89   28.60    3617   25.63   14468    0.21    0.48
  33905  398873 20240410 83956   21.04   21.05    9.80   8.13 8.62      88   28.62    3618   25.64   14475    0.25    0.54
  
  
