# VERTIKAAL 1 M.C.ECOS 8 VERTIKAAL
* 15-04-2024 10:42:23
#X: 33928 - Y: 398935
#06 PROJECTCODE: VTS
#00 DONARLOCATIE: VTS-03
#01 MEETPUNT: 1
#08 WAARNEMER(S): lamper
#21 MEETGEBIED: VEERSE MEER
#22 STARTPUNT: vlissingen
#23 EINDPUNT: wemeldinge
#51 OPDRACHTGEVER: ZLXXAXAMDBG
#52 BEHEERDER: ZLXXRWMVSGN
@ par1.dat
## TLU        oC <-->
## LUCHTDK    hPa <1007>
## WINDSHD    m/s <9999.9>
## WINDRTG    gradn <279>
## BEWKGD     /8 <8>

~     X       Y    DATUM   TIJD SENSHTE   Echms       T     pH   O2     %O2   GELBH   GEL20  SALNTT     CL- CHLFRFU TROEBFN
  33928  398935 20240415 104234    0.93    0.92   12.78   8.19 9.90     105   21.07    2477   16.91    9476    0.92    0.56
  33924  398950 20240415 104323    1.95    1.97   12.52   8.17 9.90     104   21.47    2541   17.38    9747    1.04    0.55
  33925  398935 20240415 104359    2.98    2.98   11.96   8.13 9.56     100   22.00    2638   18.11   10166    0.79    0.63
  33923  398933 20240415 104437    3.92    3.93   11.57   8.10 9.53      99   22.43    2715   18.69   10497    0.72    0.63
  33936  398934 20240415 104542    4.95    4.96   11.04   8.06 8.98      95   27.63    3388   23.85   13439    0.63    0.67
  33948  398949 20240415 104624    5.84    5.85   11.02   8.06 8.73      93   27.87    3418   24.08   13573    0.52    0.67
  33967  398947 20240415 104716    6.99    7.00   10.70   8.03 8.56      91   27.98    3459   24.40   13757    0.47    0.62
  33972  398949 20240415 104745    7.94    7.94   10.81   8.04 8.36      89   28.21    3479   24.55   13843    0.34    0.53
  33975  398949 20240415 104826    9.04    9.05   10.62   8.04 8.39      89   28.33    3509   24.79   13980    0.28    0.51
  33956  398950 20240415 104928   10.06   10.07    9.75   7.97 8.11      84   27.66    3501   24.73   13950    0.22    0.53
  33952  398956 20240415 104957   11.09   11.11    9.72   7.97 7.92      82   27.96    3542   25.05   14133    0.22    0.60
  33919  398943 20240415 105052   11.94   11.94    9.62   7.96 7.91      82   28.15    3575   25.31   14282    0.20    0.60
  33898  398914 20240415 105209   12.81   12.83    9.65   7.96 7.79      81   28.21    3580   25.35   14304    0.18    0.54
  33902  398947 20240415 105305   14.05   14.03    9.59   7.97 7.69      80   28.22    3587   25.40   14335    0.16    0.45
  33911  398954 20240415 105331   14.96   14.97    9.60   7.97 7.71      80   28.24    3589   25.41   14342    0.17    0.53
  33919  398961 20240415 105401   15.97   16.00    9.62   7.97 7.67      80   28.29    3593   25.45   14362    0.19    0.58
  33926  398967 20240415 105429   16.96   16.95    9.62   7.97 7.63      79   28.31    3595   25.46   14371    0.13    0.51
  33932  398964 20240415 105453   17.98   17.97    9.63   7.97 7.58      79   28.31    3595   25.46   14372    0.16    0.48
  33932  398937 20240415 105541   18.95   18.98    9.63   7.97 7.56      79   28.32    3596   25.47   14377    0.13    0.55
  33932  398926 20240415 105613   19.93   19.90    9.63   7.98 7.55      79   28.33    3597   25.48   14381    0.19    0.62
