# VERTIKAAL 8 M.C.ECOS 8 VERTIKAAL
* 15-04-2024 12:28:38
#X: 37460 - Y: 393832
#00 DONARLOCATIE: VTS-08
#01 MEETPUNT: 1
#08 WAARNEMER(S): lamper
@ par1.dat
## TLU        oC <-->
## LUCHTDK    hPa <1005>
## WINDSHD    m/s <9999.9>
## WINDRTG    gradn <279>
## BEWKGD     /8 <7>

~     X       Y    DATUM   TIJD SENSHTE   Echms       T     pH   O2     %O2   GELBH   GEL20  SALNTT     CL- CHLFRFU TROEBFN
  37460  393832 20240415 122850    1.03    1.03   13.69   8.36 10.0     113   29.69    3417   24.06   13554    0.86    0.49
  37450  393821 20240415 122933    1.99    2.00   13.37   8.31 9.34     105   30.72    3562   25.19   14204    0.64    0.49
  37428  393819 20240415 123001    3.04    3.03   12.81   8.28 9.08     102   31.01    3644   25.83   14573    0.45    0.43
  37406  393821 20240415 123100    4.04    4.05   12.22   8.24 8.65      96   30.97    3691   26.20   14791    0.28    0.35
  37403  393821 20240415 123114    5.08    5.10   12.31   8.25 8.66      96   31.06    3693   26.22   14798    0.37    0.48
  37401  393824 20240415 123146    6.04    6.03   12.37   8.26 8.89      99   31.38    3725   26.47   14944    0.34    0.46
  37407  393824 20240415 123203    7.03    7.02   12.49   8.26 8.86      99   31.52    3732   26.52   14974    0.39    0.53
  37414  393821 20240415 123223    8.02    8.04   12.42   8.26 8.87      99   31.49    3734   26.54   14984    0.42    0.53
  37412  393835 20240415 123415    9.09    9.10   12.12   8.24 8.64      96   31.33    3742   26.60   15021    0.31    0.59
  37412  393835 20240415 123433   10.05   10.07   12.05   8.24 8.60      95   31.22    3736   26.55   14991    0.26    0.57
  37404  393835 20240415 123512   10.98   11.01   10.23   8.19 8.44      90   30.16    3772   26.84   15164    0.18    0.55
  37398  393831 20240415 123544   12.07   12.09    9.98   8.17 8.26      88   30.06    3784   26.94   15220    0.16    0.54
  37430  393844 20240415 123651   13.04   13.03    9.93   8.16 8.11      86   30.06    3787   26.97   15237    0.17    0.52
  37440  393846 20240415 123728   14.06   14.09    9.89   8.15 7.90      84   30.07    3792   27.00   15259    0.11    0.57
