# VERTIKAAL 1 M.C.ECOS 8 VERTIKAAL
* 23-05-2024 08:46:23
#X: 49274 - Y: 395838
#06 PROJECTCODE: VTS
#00 DONARLOCATIE: VTS-17
#01 MEETPUNT: 1
#08 WAARNEMER(S): bernaards
#21 MEETGEBIED: VEERSE MEER
#22 STARTPUNT: vts-17
#23 EINDPUNT: vts-01
#51 OPDRACHTGEVER: ZLXXAXAMDBG
#52 BEHEERDER: ZLXXRWMVSGN
@ par1.dat
## TLU        oC <-->
## LUCHTDK    hPa <1013>
## WINDSHD    m/s <9999.9>
## WINDRTG    gradn <279>
## BEWKGD     /8 <8>

~     X       Y    DATUM   TIJD SENSHTE   Echms       T     pH   O2     %O2   GELBH   GEL20  SALNTT     CL- CHLFRFU TROEBFN
  49274  395838 20240523 84659    1.05    1.06   17.46   8.26 7.97      96   31.86    3366   23.64   13304    1.20    1.10
  49228  395850 20240523 84722    2.03    2.04   17.47   8.26 7.91      95   31.95    3374   23.70   13340    1.08    0.95
  49214  395853 20240523 84824    2.97    2.97   17.39   8.22 7.46      91   34.52    3653   25.87   14587    0.87    1.42
  49197  395853 20240523 84908    3.99    4.00   17.23   8.21 7.36      90   35.28    3745   26.60   15007    0.89    1.51
  49194  395854 20240523 84924    5.02    5.02   16.87   8.21 7.42      90   35.64    3815   27.15   15323    1.01    2.12
  49192  395855 20240523 84949    6.00    6.00   16.75   8.20 7.32      89   35.93    3857   27.48   15514    0.95    2.05
  49190  395857 20240523 85007    6.96    6.95   16.62   8.19 7.37      90   36.30    3906   27.88   15743    1.65    1.97
  49192  395860 20240523 85035    7.98    7.99   16.58   8.19 7.35      89   36.51    3934   28.09   15867    1.11    2.39
  49194  395860 20240523 85058    8.98    8.98   16.57   8.20 7.36      90   36.67    3952   28.24   15951    1.54    2.50
  49190  395866 20240523 85125   10.00   10.01   16.49   8.19 7.29      89   36.84    3977   28.43   16064    1.09    2.31
