# VERTIKAAL 1 M.C.ECOS 8 VERTIKAAL
* 24-06-2024 08:49:27
#X: 33917 - Y: 398897
#06 PROJECTCODE: VTS
#00 DONARLOCATIE: VTS-03
#01 MEETPUNT: 1
#08 WAARNEMER(S): bernaards
#21 MEETGEBIED: VEERSE MEER
#22 STARTPUNT: vts03
#23 EINDPUNT: vts 17
#51 OPDRACHTGEVER: ZLXXAXAMDBG
#52 BEHEERDER: ZLXXRWMVSGN
@ par1.dat
## TLU        oC <-->
## LUCHTDK    hPa <1021>
## WINDSHD    m/s <9999.9>
## WINDRTG    gradn <279>
## BEWKGD     /8 <0>

~     X       Y    DATUM   TIJD SENSHTE   Echms       T     pH   O2     %O2   GELBH   GEL20  SALNTT     CL- CHLFRFU TROEBFN
  33917  398897 20240624 84943    1.08    1.09   18.99   8.13 9.35     111   25.38    2593   17.73    9934    1.17    0.57
  33916  398903 20240624 85038    1.97    1.98   18.87   8.11 8.89     106   25.92    2655   18.20   10198    1.54    0.56
  33915  398905 20240624 85114    2.96    2.97   18.67   8.11 8.81     105   26.48    2724   18.72   10496    1.75    0.57
  33911  398911 20240624 85239    4.02    4.03   17.55   8.08 8.45      98   26.54    2799   19.29   10823    3.12    0.75
  33906  398913 20240624 85347    4.97    4.98   17.33   8.04 7.58      88   26.95    2855   19.72   11067    2.59    0.76
  33901  398916 20240624 85452    5.97    5.99   17.11   8.02 7.12      83   27.21    2897   20.04   11252    1.95    0.65
  33893  398916 20240624 85547    7.02    7.03   17.07   7.99 6.37      77   34.47    3674   26.04   14684    1.56    0.65
  33892  398916 20240624 85621    8.02    8.02   16.85   7.97 6.19      74   34.36    3679   26.08   14708    0.80    0.51
  33888  398918 20240624 85709    8.98    8.99   16.90   7.96 5.82      70   34.42    3681   26.10   14719    0.74    0.56
  33886  398920 20240624 85818   10.03   10.04   17.03   7.94 5.56      67   34.65    3695   26.21   14781    0.75    0.64
  33887  398919 20240624 85835   11.07   11.08   17.09   7.95 5.56      67   34.72    3698   26.23   14794    0.89    0.55
  33888  398919 20240624 85858   12.03   12.04   17.21   7.95 5.60      68   34.90    3708   26.31   14836    0.97    0.64
  33888  398917 20240624 85931   13.01   13.02   17.30   7.96 5.68      69   35.04    3715   26.37   14871    1.28    0.70
  33888  398912 20240624 90016   14.03   14.05   17.31   7.95 5.57      68   35.20    3732   26.49   14944    1.43    0.62
  33888  398910 20240624 90043   14.99   14.98   17.29   7.95 5.49      67   35.23    3735   26.52   14961    0.92    0.64
  33887  398907 20240624 90104   16.00   16.02   17.30   7.95 5.48      66   35.28    3740   26.56   14982    0.97    0.70
  33887  398903 20240624 90132   17.01   17.01   17.30   7.94 5.42      66   35.30    3742   26.58   14993    0.72    0.57
  33888  398900 20240624 90204   17.96   17.98   17.22   7.93 5.24      63   35.27    3746   26.61   15010    1.23    0.54
  33888  398895 20240624 90225   18.87   18.90   17.23   7.93 5.21      63   35.28    3746   26.61   15011    0.54    0.93
  33889  398885 20240624 90300   20.01   20.02   17.23   7.93 5.19      63   35.29    3747   26.62   15016    0.61    0.66
  33890  398881 20240624 90330   21.00   21.04   17.25   7.93 5.19      63   35.31    3748   26.62   15019    0.65    0.91
  33891  398879 20240624 90351   22.08   22.06   17.26   7.93 5.20      63   35.34    3750   26.64   15027    0.76    0.90
  33892  398877 20240624 90412   22.98   22.96   17.26   7.93 5.20      63   35.35    3751   26.64   15030    0.72    1.28
