# VERTIKAAL 8 M.C.ECOS 8 VERTIKAAL
* 08-07-2024 10:15:17
#X: 40103 - Y: 396006
#00 DONARLOCATIE: VTS-10
#01 MEETPUNT: 1
#08 WAARNEMER(S): bernaards
@ par1.dat
## TLU        oC <-->
## LUCHTDK    hPa <1017>
## WINDSHD    m/s <9999.9>
## WINDRTG    gradn <279>
## BEWKGD     /8 <1>

~     X       Y    DATUM   TIJD SENSHTE   Echms       T     pH   O2     %O2   GELBH   GEL20  SALNTT     CL- CHLFRFU TROEBFN
  40103  396006 20240708 101525    0.97   21.42   18.74   8.03 7.43      93   36.68    3768   26.78   15101    0.94    0.00
  40101  396007 20240708 101555    2.11   20.43   18.75   8.03 7.40      93   36.78    3778   26.85   15144    1.04    0.00
  40101  396007 20240708 101614    3.04   19.20   18.75   8.03 7.39      93   36.83    3783   26.89   15169    1.00    0.00
  40101  396004 20240708 101640    4.05   17.79   18.74   8.03 7.38      92   36.83    3784   26.90   15174    1.10    0.00
  40101  396000 20240708 101704    5.05   16.63   18.73   8.02 7.34      92   36.83    3784   26.90   15175    0.90    0.00
  40098  395995 20240708 101736    6.01   15.64   18.72   8.02 7.31      92   36.82    3785   26.91   15176    0.94    0.00
  40094  395988 20240708 101808    7.00   14.33   18.70   8.02 7.28      91   36.81    3785   26.91   15177    0.67    0.00
  40090  395987 20240708 101855    7.99   11.01   18.68   8.01 7.05      88   36.79    3785   26.91   15179    0.80    0.00
  40080  395983 20240708 101929    9.07    8.54   18.67   8.00 6.95      87   36.80    3787   26.93   15188    0.84    0.00
  40080  395983 20240708 101943   10.06    7.90   18.66   8.00 6.93      87   36.80    3787   26.93   15188    0.77    0.00
  40081  395984 20240708 101957   11.07    6.73   18.66   8.00 6.94      87   36.80    3787   26.92   15187    0.82    0.00
  40082  395991 20240708 102017   12.06    5.54   18.66   8.00 6.91      87   36.80    3788   26.93   15190    0.74    0.00
  40080  395994 20240708 102032   13.00    0.00   18.66   7.99 6.89      86   36.80    3788   26.93   15190    0.63    0.00
  40077  395995 20240708 102049   14.07    0.00   18.66   7.99 6.89      86   36.80    3788   26.93   15191    0.69    0.00
  40076  395996 20240708 102107   14.93    1.45   18.66   7.99 6.87      86   36.81    3788   26.93   15192    0.68    0.00
  40066  395990 20240708 102207   16.05    2.36   18.68   7.97 6.43      81   36.94    3799   27.02   15242    0.61    0.00
