# VERTIKAAL 1 M.C.ECOS 8 VERTIKAAL
* 08-07-2024 08:40:55
#X: 49201 - Y: 395839
#06 PROJECTCODE: VTS
#00 DONARLOCATIE: VTS-17
#01 MEETPUNT: 1
#08 WAARNEMER(S): bernaards
#21 MEETGEBIED: VEERSE MEER
#22 STARTPUNT: vts17
#23 EINDPUNT: vts -01
#51 OPDRACHTGEVER: ZLXXAXAMDBG
#52 BEHEERDER: ZLXXRWMVSGN
@ par1.dat
## TLU        oC <-->
## LUCHTDK    hPa <1016>
## WINDSHD    m/s <9999.9>
## WINDRTG    gradn <279>
## BEWKGD     /8 <2>

~     X       Y    DATUM   TIJD SENSHTE   Echms       T     pH   O2     %O2   GELBH   GEL20  SALNTT     CL- CHLFRFU TROEBFN
  49201  395839 20240708 84126    0.98   10.58   18.00   7.94 7.14      89   36.66    3828   27.25   15376    1.16    0.00
  49190  395843 20240708 84147    2.01    9.54   18.00   7.94 7.11      88   36.71    3833   27.29   15400    0.97    0.00
  49182  395853 20240708 84213    3.04    8.44   18.07   7.94 7.04      88   37.03    3860   27.50   15521    0.84    0.00
  49180  395854 20240708 84303    3.98    6.76   18.24   7.98 6.99      88   38.31    3978   28.44   16060    0.65    0.00
  49180  395856 20240708 84325    5.04    6.04   18.29   8.00 7.03      88   38.71    4015   28.74   16232    0.74    0.00
  49180  395857 20240708 84346    6.05    4.92   18.30   8.00 7.00      88   38.78    4023   28.79   16265    0.56    0.00
  49181  395858 20240708 84404    7.06    3.89   18.32   8.01 6.99      88   38.93    4036   28.90   16327    0.60    0.00
  49183  395859 20240708 84420    8.04    2.76   18.32   8.01 7.00      88   38.99    4042   28.95   16354    0.67    0.00
  49184  395860 20240708 84433    9.04    1.64   18.32   8.01 7.01      88   39.00    4044   28.96   16362    0.56    0.00
  49189  395867 20240708 84453    9.92   27.91   18.32   8.01 7.00      88   39.04    4047   28.99   16379    0.57    0.00
