# VERTIKAAL 1 M.C.ECOS 8 VERTIKAAL
* 22-07-2024 08:34:16
#X: 33887 - Y: 398941
#06 PROJECTCODE: VTS
#00 DONARLOCATIE: VTS-03
#01 MEETPUNT: 1
#08 WAARNEMER(S): bernaards
#21 MEETGEBIED: VEERSE MEER
#22 STARTPUNT: veere
#23 EINDPUNT: kats
#51 OPDRACHTGEVER: ZLXXAXAMDBG
#52 BEHEERDER: ZLXXRWMVSGN
@ par1.dat
## TLU        oC <-->
## LUCHTDK    hPa <1016>
## WINDSHD    m/s <9999.9>
## WINDRTG    gradn <279>
## BEWKGD     /8 <7>

~     X       Y    DATUM   TIJD SENSHTE   Echms       T     pH   O2     %O2   GELBH   GEL20  SALNTT     CL- CHLFRFU TROEBFN
  33887  398941 20240722 83435    0.95   19.21   21.40   8.04 7.42      98   38.61    3749   26.62   15001    2.48    0.00
  33903  398933 20240722 83602    2.06   18.03   21.02   7.96 6.65      87   38.38    3757   26.68   15036    2.51    0.00
  33906  398931 20240722 83626    2.98   16.94   21.00   7.95 6.59      86   38.37    3757   26.68   15037    2.76    0.00
  33908  398931 20240722 83708    3.95   15.57   20.60   7.88 5.83      76   38.05    3756   26.68   15037    2.47    0.00
  33918  398931 20240722 83757    4.99   14.42   19.57   7.69 4.39      56   37.28    3762   26.73   15069    1.71    0.00
  33922  398926 20240722 83832    5.96   13.99   19.00   7.65 4.15      52   36.81    3761   26.72   15066    1.07    0.00
  33921  398929 20240722 83917    7.08   12.95   18.92   7.59 3.30      42   36.88    3774   26.82   15126    0.62    0.00
  33919  398929 20240722 84004    8.03   11.78   18.74   7.54 2.92      37   36.79    3780   26.87   15156    0.44    0.00
  33917  398929 20240722 84057    8.97   10.71   18.75   7.52 2.50      31   36.88    3788   26.93   15192    0.46    0.00
  33916  398932 20240722 84137    9.99    9.83   18.89   7.51 2.37      30   37.10    3798   27.01   15238    0.49    0.00
  33916  398936 20240722 84215   10.97    8.09   19.13   7.52 2.23      28   37.49    3819   27.17   15329    0.50    0.00
  33917  398938 20240722 84232   12.01    6.77   19.19   7.53 2.23      28   37.57    3822   27.20   15344    0.53    0.00
  33921  398949 20240722 84343   13.06    4.19   19.36   7.56 2.60      33   37.81    3833   27.28   15392    0.46    0.00
  33918  398953 20240722 84412   14.03    4.38   19.40   7.57 2.66      34   37.88    3837   27.31   15408    0.56    0.00
  33904  398913 20240722 84517   15.03    7.29   19.38   7.57 2.64      34   37.86    3836   27.31   15407    0.41    0.00
  33903  398911 20240722 84538   16.05    6.75   19.38   7.56 2.61      33   37.87    3838   27.33   15415    0.47    0.00
  33903  398908 20240722 84626   17.00    5.91   19.33   7.55 2.43      31   37.87    3841   27.35   15428    0.34    0.00
  33904  398906 20240722 84643   18.01    4.73   19.32   7.55 2.41      31   37.86    3841   27.35   15430    0.29    0.00
  33909  398899 20240722 84751   19.17    3.51   19.01   7.54 1.92      24   37.46    3826   27.23   15362    0.37    0.00
  33915  398897 20240722 84831   20.00    1.73   18.83   7.53 1.82      23   37.32    3827   27.24   15368    0.26    0.00
  33932  398882 20240722 85004   21.00    1.34   18.31   7.52 1.05      13   36.82    3817   27.17   15328    0.21    0.00
