# VERTIKAAL 17 M.C.ECOS 8 VERTIKAAL
* 31-07-2024 11:51:07
#X: 33218 - Y: 400496
#00 DONARLOCATIE: VTS-01
#01 MEETPUNT: 1
#08 WAARNEMER(S): Schouwenaars
@ par1.dat
## TLU        oC <-->
## LUCHTDK    hPa <1014>
## WINDSHD    m/s <9999.9>
## WINDRTG    gradn <279>
## BEWKGD     /8 <8>

~     X       Y    DATUM   TIJD SENSHTE   Echms       T     pH   O2     %O2   GELBH   GEL20  SALNTT     CL- CHLFRFU TROEBFN
  33218  400496 20240731 115115    0.91    0.00   22.58   8.08 8.17     110   39.99    3790   26.94   15178    3.10    0.00
  33218  400498 20240731 115131    1.98    0.00   22.58   8.09 8.16     110   39.99    3790   26.94   15180    2.94    0.00
  33219  400501 20240731 115149    3.03    0.00   22.48   8.04 7.92     107   39.90    3790   26.93   15177    2.68    0.00
  33221  400515 20240731 115235    3.95    0.00   22.23   8.02 7.42     100   39.69    3789   26.92   15173    2.33    0.00
  33221  400525 20240731 115323    5.01    0.00   20.72   7.82 5.28      69   38.45    3787   26.91   15174    2.04    0.00
  33219  400534 20240731 115415    5.95    0.00   20.46   7.71 3.95      51   38.23    3786   26.91   15171    1.03    0.00
  33216  400539 20240731 115445    6.95    0.00   19.94   7.56 2.52      32   37.93    3798   27.01   15230    0.86    0.00
  33211  400550 20240731 115544    7.94    0.00   19.58   7.49 1.51      19   37.64    3798   27.01   15230    0.46    0.00
  33207  400558 20240731 115630    8.99    0.00   19.07   7.45 0.96      12   37.28    3803   27.05   15258    0.31    0.00
  33205  400562 20240731 115650    9.96    0.00   18.97   7.46 0.91      12   37.26    3810   27.10   15288    0.23    0.00
  33204  400564 20240731 115705   10.90    0.00   18.88   7.46 0.89      11   37.19    3809   27.10   15287    0.19    0.00
  33203  400567 20240731 115719   11.99    0.00   18.91   7.46 0.88      11   37.26    3814   27.14   15310    0.22    0.00
  33201  400569 20240731 115735   13.05    0.00   18.90   7.46 0.83      10   37.27    3816   27.16   15319    0.19    0.00
  33199  400575 20240731 115807   13.99    0.00   19.02   7.49 0.93      12   37.43    3822   27.20   15345    0.17    0.00
  33199  400577 20240731 115820   14.94    0.00   19.27   7.52 1.04      13   37.88    3848   27.40   15460    0.19    0.00
  33198  400579 20240731 115834   15.93    0.00   19.25   7.52 1.11      14   37.91    3852   27.44   15481    0.09    0.00
  33197  400581 20240731 115851   17.06    0.00   19.17   7.52 0.97      12   37.86    3853   27.45   15485    0.15    0.00
  33194  400586 20240731 115923   18.03    0.00   18.73   7.49 0.36       5   37.56    3859   27.49   15514    0.55    0.00
