# VERTIKAAL 1 M.C.ECOS 8 VERTIKAAL
* 31-07-2024 07:14:16
#X: 49197 - Y: 395828
#06 PROJECTCODE: VTS
#00 DONARLOCATIE: VTS-17
#01 MEETPUNT: 1
#08 WAARNEMER(S): Schouwenaars
#21 MEETGEBIED: VEERSE MEER
#22 STARTPUNT: Kats
#23 EINDPUNT: Vlissingen
#51 OPDRACHTGEVER: ZLXXAXAMDBG
#52 BEHEERDER: ZLXXRWMVSGN
@ par1.dat
## TLU        oC <-->
## LUCHTDK    hPa <1014>
## WINDSHD    m/s <9999.9>
## WINDRTG    gradn <279>
## BEWKGD     /8 <8>

~     X       Y    DATUM   TIJD SENSHTE   Echms       T     pH   O2     %O2   GELBH   GEL20  SALNTT     CL- CHLFRFU TROEBFN
  49197  395828 20240731 71426    0.98    0.00   23.28   8.13 8.37     115   42.20    3944   28.15   15873    1.63    0.00
  49205  395824 20240731 71516    2.09    0.00   23.30   8.13 8.34     115   42.13    3935   28.08   15832    1.37    0.00
  49211  395828 20240731 71619    3.01    0.00   23.39   8.14 8.53     118   42.70    3980   28.44   16041    1.54    0.00
  49210  395832 20240731 71701    3.97    0.00   22.65   8.12 8.20     112   43.32    4100   29.39   16594    0.97    0.00
  49209  395834 20240731 71737    4.93    0.00   22.42   8.12 8.14     111   43.34    4121   29.57   16695    0.97    0.00
  49205  395837 20240731 71816    5.92    0.00   22.26   8.11 7.95     108   43.27    4127   29.62   16725    1.08    0.00
  49203  395839 20240731 71834    7.05    0.00   22.29   8.11 7.91     108   43.37    4135   29.68   16761    1.20    0.00
  49196  395844 20240731 71923    8.13    0.00   22.19   8.10 7.78     106   43.30    4137   29.69   16769    1.26    0.00
  49189  395849 20240731 72021    8.99    0.00   21.95   8.08 7.35     100   42.99    4128   29.62   16728    1.28    0.00
  49184  395850 20240731 72058    9.93    0.00   21.78   8.06 7.21      97   42.84    4127   29.62   16726    1.43    0.00
