# VERTIKAAL 11 M.C.ECOS 8 VERTIKAAL
* 19-08-2024 11:44:10
#X: 40146 - Y: 396027
#00 DONARLOCATIE: VTS-10
#01 MEETPUNT: 1
#08 WAARNEMER(S): J. Hofman
@ par1.dat
## TLU        oC <-->
## LUCHTDK    hPa <1018>
## WINDSHD    m/s <9999.9>
## WINDRTG    gradn <279>
## BEWKGD     /8 <2>

~     X       Y    DATUM   TIJD SENSHTE   Echms       T     pH   O2     %O2   GELBH   GEL20  SALNTT     CL- CHLFRFU TROEBFN
  40146  396027 20240819 114426    0.97    9999   22.77   7.84 6.96      95   41.57    3925   28.00   15791    2.62    0.59
  40141  396022 20240819 114446    2.02    9999   22.76   7.83 6.88      93   41.57    3925   28.00   15792    3.31    0.53
  40139  396020 20240819 114501    2.95    9999   22.75   7.83 6.85      93   41.57    3926   28.01   15798    2.99    0.67
  40130  396013 20240819 114606    4.10    9999   22.72   7.83 6.75      92   41.58    3930   28.04   15814    2.72    0.59
  40126  396011 20240819 114636    4.92    9999   22.54   7.77 6.09      82   41.57    3943   28.15   15876    2.16    0.45
  40119  396010 20240819 114721    6.06    9999   22.97   7.70 4.19      58   43.31    4072   29.18   16466    0.69    0.21
  40117  396010 20240819 114730    6.90    9999   22.96   7.69 4.13      57   43.37    4079   29.23   16495    0.37    0.20
  40116  396009 20240819 114738    7.88    9999   22.94   7.71 4.11      56   43.39    4082   29.26   16512    0.31    0.33
  40115  396009 20240819 114747    8.91    9999   22.92   7.72 4.13      57   43.52    4096   29.37   16577    0.26    0.36
  40115  396009 20240819 114751    9.92    9999   22.89   7.71 4.07      56   43.56    4103   29.42   16608    0.16    0.35
  40114  396009 20240819 114802   10.92    9999   22.84   7.70 3.89      53   43.55    4105   29.44   16619    0.11    0.36
  40113  396009 20240819 114808   11.88    9999   22.84   7.70 3.83      52   43.56    4106   29.45   16624    0.13    0.31
  40113  396008 20240819 114816   12.89    9999   22.83   7.71 3.83      52   43.57    4108   29.46   16633    0.12    0.49
  40112  396009 20240819 114823   13.91    9999   22.82   7.70 3.81      52   43.56    4108   29.46   16633    0.15    0.48
  40111  396009 20240819 114832   14.89    9999   22.82   7.71 3.77      52   43.56    4108   29.46   16632    0.15    0.43
  40110  396009 20240819 114843   15.90    9999   22.82   7.71 3.76      51   43.56    4108   29.46   16632    0.25    0.49
  40110  396010 20240819 114848   16.90    9999   22.81   7.71 3.74      51   43.56    4109   29.47   16634    0.18    0.42
  40109  396010 20240819 114855   17.88    9999   22.81   7.71 3.73      51   43.57    4110   29.48   16641    0.16    0.61
  40108  396011 20240819 114904   18.92    9999   22.80   7.70 3.71      51   43.56    4110   29.48   16642    0.15    0.59
  40107  396011 20240819 114916   19.97    9999   22.78   7.70 3.67      50   43.54    4110   29.48   16641    0.16    0.59
