# VERTIKAAL 1 M.C.ECOS 8 VERTIKAAL
* 05-09-2024 09:09:02
#X: 33906 - Y: 400612
#06 PROJECTCODE: VTS
#00 DONARLOCATIE: Z-01
#01 MEETPUNT: 1
#08 WAARNEMER(S): bernaards
#21 MEETGEBIED: VEERSE MEER
#22 STARTPUNT: vts102
#23 EINDPUNT: vts17
#51 OPDRACHTGEVER: ZLXXAXAMDBG
#52 BEHEERDER: ZLXXRWMVSGN
@ par1.dat
## TLU        oC <-->
## LUCHTDK    hPa <1011>
## WINDSHD    m/s <9999.9>
## WINDRTG    gradn <279>
## BEWKGD     /8 <6>

~     X       Y    DATUM   TIJD SENSHTE   Echms       T     pH   O2     %O2   GELBH   GEL20  SALNTT     CL- CHLFRFU TROEBFN
  33906  400612 20240905 91109    1.00      --   20.55   7.74 6.44      85   39.82    3936   28.10   15857    1.60    0.82
  33864  400608 20240905 91151    1.97      --   20.53   7.74 6.39      84   39.81    3937   28.11   15860    1.83    0.82
  33828  400610 20240905 91219    3.07      --   20.50   7.73 6.32      83   39.79    3938   28.11   15863    1.59    0.77
  33823  400611 20240905 91241    3.97      --   20.49   7.74 6.29      83   39.78    3937   28.10   15859    1.47    0.78
  33813  400574 20240905 91435    4.97      --   20.55   7.76 6.19      81   39.84    3938   28.12   15866    1.50    0.83
  33818  400572 20240905 91517    6.11      --   20.37   7.67 5.59      73   39.69    3939   28.12   15868    1.24    0.64
  33823  400572 20240905 91555    7.03      --   20.34   7.66 5.36      70   39.67    3938   28.12   15866    1.03    0.69
  33828  400574 20240905 91646    7.98      --   20.19   7.62 5.03      66   39.54    3938   28.12   15868    0.71    0.41
  33827  400574 20240905 91746    9.02      --   20.00   7.57 4.64      60   39.33    3933   28.08   15845    0.70    0.47
  33828  400575 20240905 91825    9.96      --   19.87   7.54 4.44      58   39.20    3931   28.06   15837    0.36    0.37
  33830  400577 20240905 91902   11.01      --   19.75   7.52 4.32      56   39.07    3928   28.04   15825    0.27    0.32
  33831  400578 20240905 91934   12.01      --   19.69   7.51 4.20      54   39.03    3929   28.04   15827    0.32    0.30
