# VERTIKAAL 2 M.C.ECOS 8 VERTIKAAL
* 05-09-2024 09:24:16
#X: 33755 - Y: 400943
#00 DONARLOCATIE: Z-02
#01 MEETPUNT: 1
#08 WAARNEMER(S): bernaards
@ par1.dat
## TLU        oC <-->
## LUCHTDK    hPa <1011>
## WINDSHD    m/s <9999.9>
## WINDRTG    gradn <279>
## BEWKGD     /8 <8>

~     X       Y    DATUM   TIJD SENSHTE   Echms       T     pH   O2     %O2   GELBH   GEL20  SALNTT     CL- CHLFRFU TROEBFN
  33755  400943 20240905 92430    1.01      --   20.24   7.70 5.82      76   39.51    3931   28.06   15833    1.79    0.69
  33740  400943 20240905 92459    2.00      --   20.24   7.70 5.84      76   39.49    3930   28.05   15829    1.67    0.66
  33738  400941 20240905 92514    2.96      --   20.23   7.70 5.83      76   39.51    3932   28.06   15837    1.54    0.79
  33736  400935 20240905 92547    3.97      --   20.24   7.70 5.83      76   39.52    3933   28.07   15841    1.42    0.71
  33735  400932 20240905 92605    4.99      --   20.24   7.70 5.81      76   39.52    3932   28.07   15839    1.42    0.68
  33734  400927 20240905 92623    6.07      --   20.18   7.67 5.80      76   39.48    3933   28.07   15843    1.16    0.65
  33734  400920 20240905 92702    7.03      --   20.01   7.61 5.04      66   39.32    3931   28.06   15836    0.72    0.41
  33735  400915 20240905 92722    8.07      --   19.94   7.58 4.93      64   39.26    3931   28.06   15836    0.90    0.34
  33735  400905 20240905 92757    9.01      --   19.89   7.57 4.65      60   39.22    3931   28.06   15835    0.85    0.44
  33736  400894 20240905 92836    9.99      --   19.90   7.56 4.50      58   39.25    3934   28.08   15849    0.43    0.40
  33736  400888 20240905 92900   11.04      --   19.96   7.57 4.48      58   39.33    3936   28.10   15859    0.66    0.36
  33736  400884 20240905 92914   11.97      --   19.95   7.57 4.46      58   39.32    3936   28.10   15857    0.49    0.35
  33736  400876 20240905 92945   13.02      --   19.92   7.56 4.39      57   39.30    3936   28.10   15861    0.44    0.34
  33735  400867 20240905 93021   14.02      --   19.94   7.56 4.28      56   39.34    3939   28.12   15871    0.78    0.46
  33734  400860 20240905 93041   14.99      --   19.91   7.55 4.20      55   39.29    3937   28.10   15861    0.38    0.47
