# VERTIKAAL 1 M.C.ECOS 8 VERTIKAAL
* 03-02-2025 12:12:22
#X: 33200 - Y: 400550
#06 PROJECTCODE: VTS
#00 DONARLOCATIE: VTS-01
#01 MEETPUNT: 1
#08 WAARNEMER(S): bernaards
#21 MEETGEBIED: VEERSE MEER
#22 STARTPUNT: vts-01
#23 EINDPUNT: vts17
#51 OPDRACHTGEVER: ZLXXAXAMDBG
#52 BEHEERDER: ZLXXRWMVSGN
@ par1.dat
## TLU        oC <-->
## LUCHTDK    hPa <1028>
## WINDSHD    m/s <-->
## WINDRTG    gradn <-->
## BEWKGD     /8 <1>

~     X       Y    DATUM   TIJD SENSHTE   Echms       T     pH   O2     %O2   GELBH   GEL20  SALNTT     CL- CHLFRFU TROEBFN
  33200  400550 20250203 121238    1.09   16.56    4.09   8.16 11.1      98   22.57    3315   23.33   13153    0.32    1.28
  33200  400550 20250203 121255    2.09   15.16    4.06   8.16 11.1      98   22.56    3314   23.33   13152    0.29    1.32
  33200  400550 20250203 121313    2.95   15.73    4.02   8.16 11.1      98   22.53    3315   23.33   13154    0.39    1.37
  33200  400550 20250203 121333    3.92   13.75    4.05   8.16 11.0      98   22.56    3317   23.34   13162    0.35    1.29
  33200  400550 20250203 121427    4.89   13.22    5.28   8.13 10.6      97   23.87    3394   23.93   13498    0.42    1.12
  33200  400550 20250203 121539    5.99   11.46    5.63   8.07 10.0      92   24.65    3470   24.52   13833    0.41    1.23
  33200  400550 20250203 121646    7.08   10.37    5.79   8.03 9.43      88   25.38    3559   25.20   14229    0.28    1.19
  33200  400550 20250203 121701    7.95    9.07    5.79   8.03 9.40      88   25.44    3568   25.28   14271    0.28    1.17
  33200  400550 20250203 121746    8.99    7.57    5.84   8.01 9.20      86   25.77    3608   25.59   14450    0.32    1.17
  33200  400550 20250203 121826   10.02    6.38    5.88   8.00 9.05      85   25.88    3620   25.68   14504    0.18    1.28
  33200  400550 20250203 121933   11.06    5.72    6.12   7.95 8.31      78   26.41    3670   26.07   14729    0.23    1.17
  33200  400550 20250203 121955   12.02    5.01    6.16   7.94 8.25      78   26.48    3676   26.12   14755    0.26    1.18
  33200  400550 20250203 122037   13.07    4.37    6.21   7.91 7.88      75   26.83    3721   26.47   14956    0.20    1.35
  33200  400550 20250203 122101   13.98    3.10    6.20   7.91 7.80      74   26.84    3723   26.48   14963    0.19    1.39
  33200  400550 20250203 122116   15.03    1.93    6.19   7.91 7.77      74   26.85    3725   26.50   14974    0.19    1.50
  33200  400550 20250203 122141   15.98    0.81    6.23   7.90 7.69      73   26.90    3727   26.52   14985    0.16    1.37
