# VERTIKAAL 5 M.C.ECOS 8 VERTIKAAL
* 03-02-2025 13:03:59
#X: 35445 - Y: 397423
#00 DONARLOCATIE: VTS-05
#01 MEETPUNT: 1
#08 WAARNEMER(S): bernaards
@ par1.dat
## TLU        oC <-->
## LUCHTDK    hPa <1027>
## WINDSHD    m/s <-->
## WINDRTG    gradn <-->
## BEWKGD     /8 <0>

~     X       Y    DATUM   TIJD SENSHTE   Echms       T     pH   O2     %O2   GELBH   GEL20  SALNTT     CL- CHLFRFU TROEBFN
  35445  397423 20250203 130407    1.05    9.73    4.56   8.16 11.0      99   23.13    3353   23.62   13320    0.36    1.32
  35445  397423 20250203 130421    2.13    9.30    4.53   8.17 11.0      99   23.12    3354   23.63   13323    0.44    1.35
  35445  397423 20250203 130435    3.02    9.76    4.47   8.16 11.0      98   23.11    3358   23.66   13343    0.47    1.32
  35445  397423 20250203 130500    3.99    9.09    4.40   8.16 10.9      98   23.06    3357   23.65   13338    0.54    1.30
  35445  397423 20250203 130557    5.00    6.70    5.69   8.07 9.94      92   25.39    3569   25.28   14276    0.44    1.24
  35445  397423 20250203 130636    6.02    5.79    5.59   8.02 9.56      89   26.47    3732   26.56   15009    0.33    1.27
  35445  397423 20250203 130654    7.00    4.84    5.55   8.02 9.47      89   26.54    3745   26.66   15068    0.23    1.23
  35445  397423 20250203 130716    8.08    3.65    5.52   8.01 9.37      88   26.63    3761   26.79   15142    0.29    1.23
  35445  397423 20250203 130738    9.00    2.68    5.53   8.01 9.29      87   26.69    3769   26.85   15176    0.29    1.25
  35445  397423 20250203 130830    9.95    1.50    5.63   7.98 8.76      82   26.82    3777   26.91   15212    0.19    1.38
  35445  397423 20250203 130919   10.99    2.09    5.81   7.94 8.43      80   27.01    3785   26.97   15247    0.15    1.31
