# VERTIKAAL 1 M.C.ECOS 8 VERTIKAAL
* 03-03-2025 13:55:35
#X: 33200 - Y: 400550
#06 PROJECTCODE: VTS
#00 DONARLOCATIE: VTS-01
#01 MEETPUNT: 1
#08 WAARNEMER(S): bernaards
#21 MEETGEBIED: VEERSE MEER
#22 STARTPUNT: vts 17
#23 EINDPUNT: vts 102
#51 OPDRACHTGEVER: ZLXXAXAMDBG
#52 BEHEERDER: ZLXXRWMVSGN
@ par1.dat
## TLU        oC <-->
## LUCHTDK    hPa <1030>
## WINDSHD    m/s <-->
## WINDRTG    gradn <-->
## BEWKGD     /8 <0>

~     X       Y    DATUM   TIJD SENSHTE   Echms       T     pH   O2     %O2   GELBH   GEL20  SALNTT     CL- CHLFRFU TROEBFN
  33200  400550 20250303 135545    1.08   14.48    6.67   8.31 11.4     108   25.15    3445   24.32   13718    0.22    0.90
  33200  400550 20250303 135623    1.97   12.33    6.29   8.31 11.4     107   24.96    3453   24.38   13756    0.26    0.93
  33200  400550 20250303 135639    3.04   12.41    6.30   8.31 11.4     107   24.94    3450   24.36   13741    0.31    0.89
  33200  400550 20250303 135702    3.98   12.01    6.34   8.29 11.5     108   25.13    3473   24.53   13842    0.37    0.91
  33200  400550 20250303 135813    5.02   12.07    6.19   8.04 9.38      89   26.46    3671   26.08   14733    0.24    0.90
  33200  400550 20250303 135856    6.00   13.62    5.91   8.02 9.12      86   26.65    3725   26.50   14976    0.26    0.93
  33200  400550 20250303 135911    6.94   11.73    5.75   8.02 9.10      85   26.63    3737   26.60   15031    0.22    0.89
  33200  400550 20250303 140002    7.99    3.63    5.61   8.05 9.31      87   26.60    3747   26.67   15076    0.18    0.92
  33200  400550 20250303 140120    8.98    9.46    5.45   8.09 9.80      91   26.60    3764   26.81   15156    0.29    0.86
  33200  400550 20250303 140204   10.07    5.88    5.34   8.10 9.91      92   26.64    3780   26.93   15226    0.19    0.97
  33200  400550 20250303 140223   10.91    4.87    5.34   8.10 9.89      92   26.69    3787   26.99   15260    0.20    0.91
  33200  400550 20250303 140241   11.88    3.72    5.34   8.10 9.87      92   26.69    3788   27.00   15265    0.25    0.94
  33200  400550 20250303 140304   13.10    2.14    5.34   8.09 9.85      92   26.71    3791   27.02   15277    0.25    0.97
  33200  400550 20250303 140320   13.99    1.12    5.34   8.09 9.82      91   26.72    3791   27.02   15278    0.20    1.03
