# VERTIKAAL 6 M.C.ECOS 8 VERTIKAAL
* 17-04-2025 09:38:02
#X: 33200 - Y: 400550
#00 DONARLOCATIE: VTS-01
#01 MEETPUNT: 1
#08 WAARNEMER(S): Hartman
@ par1.dat
## TLU        oC <-->
## LUCHTDK    hPa <1013>
## WINDSHD    m/s <-->
## WINDRTG    gradn <-->
## BEWKGD     /8 <8>

~     X       Y    DATUM   TIJD SENSHTE   Echms       T     pH   O2     %O2   GELBH   GEL20  SALNTT     CL- CHLFRFU TROEBFN
  33200  400550 20250417 93811    1.00   12.44   13.11   8.57 9.36     105   32.10    3746   26.62   15031    1.05    0.62
  33200  400550 20250417 93829    1.99    9.10   13.10   8.57 9.37     105   32.10    3745   26.62   15030    1.10    0.69
  33200  400550 20250417 93856    3.03   13.46   13.09   8.57 9.36     105   32.09    3745   26.62   15030    1.24    0.64
  33200  400550 20250417 93934    3.99   14.45   13.08   8.57 9.25     104   32.08    3745   26.62   15030    0.87    0.62
  33200  400550 20250417 94000    5.00   11.56   12.48   8.54 9.24     103   31.77    3762   26.76   15109    0.67    0.54
  33200  400550 20250417 94125    5.97    9.86   10.76   8.49 9.84     105   30.76    3798   27.05   15281    0.90    0.81
  33200  400550 20250417 94147    7.02    8.73   10.51   8.47 9.86     105   30.71    3815   27.18   15359    0.75    0.76
  33200  400550 20250417 94211    8.03    7.66   10.72   8.47 9.84     106   31.25    3861   27.54   15567    0.83    0.70
  33200  400550 20250417 94253    8.99    6.48    9.88   8.41 9.90     105   31.05    3917   27.99   15829    0.41    0.78
  33200  400550 20250417 94317   10.01    5.45    8.51   8.31 10.0     102   29.91    3907   27.91   15787    0.17    0.70
  33200  400550 20250417 94338   11.00    4.35    8.28   8.28 9.97     102   29.67    3898   27.85   15749    0.09    0.68
  33200  400550 20250417 94413   12.01    3.31    8.18   8.27 9.82     100   29.60    3899   27.85   15752   -0.04    0.66
  33200  400550 20250417 94453   13.01    2.13    8.09   8.26 9.63      98   29.56    3902   27.88   15768    0.03    0.76
  33200  400550 20250417 94541   14.02    1.20    8.08   8.26 9.47      96   29.60    3908   27.93   15794    0.10    0.80
