# VERTIKAAL 1 M.C.ECOS 8 VERTIKAAL
* 29-04-2025 08:22:46
#X: 49200 - Y: 395850
#06 PROJECTCODE: VTS
#00 DONARLOCATIE: VTS-17
#01 MEETPUNT: 1
#08 WAARNEMER(S): Hartman
#21 MEETGEBIED: VEERSE MEER
#22 STARTPUNT: VTS-17
#23 EINDPUNT: VTS-1
#51 OPDRACHTGEVER: ZLXXAXAMDBG
#52 BEHEERDER: ZLXXRWMVSGN
@ par1.dat
## TLU        oC <-->
## LUCHTDK    hPa <1028>
## WINDSHD    m/s <-->
## WINDRTG    gradn <-->
## BEWKGD     /8 <1>

~     X       Y    DATUM   TIJD SENSHTE   Echms       T     pH   O2     %O2   GELBH   GEL20  SALNTT     CL- CHLFRFU TROEBFN
  49200  395850 20250429 82256    1.02   10.61   15.62   8.44 10.2     121   36.60    4029   28.85   16309    1.06    0.76
  49200  395850 20250429 82326    1.99    9.58   14.96   8.43 10.2     120   36.78    4110   29.50   16684    1.76    0.86
  49200  395850 20250429 82353    3.03    8.41   14.74   8.43 10.3     121   36.81    4134   29.69   16798    1.44    1.02
  49200  395850 20250429 82424    4.01    7.46   14.57   8.44 10.4     121   36.76    4146   29.78   16852    1.48    1.02
  49200  395850 20250429 82505    5.00    6.56   14.34   8.45 10.5     122   36.72    4162   29.92   16930    3.89    1.37
  49200  395850 20250429 82534    6.02    5.53   14.23   8.45 10.6     123   36.76    4178   30.04   17001    2.11    1.60
  49200  395850 20250429 82555    7.01    4.56   14.14   8.46 10.6     123   36.77    4188   30.13   17050    3.07    0.94
  49200  395850 20250429 82612    8.05    3.55   14.10   8.46 10.6     123   36.78    4192   30.16   17069    4.30    1.22
  49200  395850 20250429 82636    8.97    2.59   14.09   8.46 10.6     123   36.78    4194   30.17   17077    3.83    1.20
  49200  395850 20250429 82654   10.03    1.54   14.02   8.46 10.6     123   36.81    4203   30.25   17120    4.42    1.09
  49200  395850 20250429 82711   11.00    0.75   14.00   8.47 10.6     123   36.81    4206   30.27   17133    5.00    1.14
